lemma,frequency_rank,frequency_set,part_of_speech,is_function_word,first_letter_unit,last_letter_unit,is_dead_end
first,96,1,X,0,f,t,0
someone,97,1,X,0,s,e,0
really,98,1,X,0,r,y,0
to help,99,1,X,0,t,p,0
come on,100,1,X,0,c,n,0
to call,101,2,X,0,t,l,0
according to,102,2,X,0,a,o,0
to speak,103,2,X,0,t,k,0
how much,104,2,X,0,h,h,0
to believe,105,2,X,0,t,e,0
already,106,2,X,0,a,y,0
two,107,2,X,0,t,o,0
to make,108,2,X,0,t,e,0
that's why,109,2,X,0,t,y,0
exactly,110,2,X,0,e,y,0
but rather,111,2,X,0,b,r,0
without,112,2,X,0,w,t,0
mister,113,2,X,0,m,r,0
right,114,2,X,0,r,t,0
friend,115,2,X,0,f,d,0
while,116,2,X,0,w,e,0
every,117,2,X,0,e,y,0
child,118,2,X,0,c,d,0
to take,119,2,X,0,t,e,0
to watch,120,2,X,0,t,h,0
to stay,121,2,X,0,t,y,0
to mean,122,2,X,0,t,n,0
sorry,123,2,X,0,s,y,0
naturally,124,2,X,0,n,y,0
father,125,2,X,0,f,r,0
to look for,126,2,X,0,t,r,0
to forgive,127,2,X,0,t,e,0
place,128,2,X,0,p,e,0
what kind of,129,2,X,0,w,f,0
new,130,2,X,0,n,w,0
around,131,2,X,0,a,d,0
to converse,132,2,X,0,t,e,0
mom,133,2,X,0,m,m,0
never,134,2,X,0,n,r,0
sure,135,2,X,0,s,e,0
small,136,2,X,0,s,l,0
to look at,137,2,X,0,t,t,0
dad,138,2,X,0,d,d,0
problem,139,2,X,0,p,m,0
name,140,2,X,0,n,e,0
money,141,2,X,0,m,y,0
to live,142,2,X,0,t,e,0
to listen,143,2,X,0,t,n,0
at,144,2,X,0,a,t,0
clock,145,2,X,0,c,k,0
to talk,146,2,X,0,t,k,0
old,147,2,X,0,o,d,0
to exist,148,2,X,0,t,t,0
hand,149,2,X,0,h,d,0
very,150,2,X,0,v,y,0
connection,151,2,X,0,c,n,0
to begin,152,2,X,0,t,n,0
to die,153,2,X,0,t,e,0
to understand,154,2,X,0,t,d,0
to hold,155,2,X,0,t,d,0
son,156,2,X,0,s,n,0
today,157,2,X,0,t,y,0
night,158,2,X,0,n,t,0
far,159,2,X,0,f,r,0
mother,160,2,X,0,m,r,0
again,161,2,X,0,a,n,0
surely,162,2,X,0,s,y,0
after,163,2,X,0,a,r,0
immediately,164,2,X,0,i,y,0
three,165,2,X,0,t,e,0
world,166,2,X,0,w,d,0
ready,167,2,X,0,r,y,0
question,168,2,X,0,q,n,0
to lose,169,2,X,0,t,e,0
truth,170,2,X,0,t,h,0
such,171,2,X,0,s,h,0
type,172,2,X,0,t,e,0
boy,173,2,X,0,b,y,0
even,174,2,X,0,e,n,0
so much,175,2,X,0,s,h,0
hi,176,2,X,0,h,i,0
towards,177,2,X,0,t,s,0
girl,178,2,X,0,g,l,0
room,179,2,X,0,r,m,0
city,180,2,X,0,c,y,0
for a long time,181,2,X,0,f,e,0
to forget,182,2,X,0,t,t,0
end; near,183,2,X,0,e,r,0
family,184,2,X,0,f,y,0
country,185,2,X,0,c,y,0
door,186,2,X,0,d,r,0
story,187,2,X,0,s,y,0
enough,188,2,X,0,e,h,0
to put,189,2,X,0,t,t,0
quickly,190,2,X,0,q,y,0
to send,191,2,X,0,t,d,0
to enter,192,2,X,0,t,r,0
beautifully,193,2,X,0,b,y,0
part,194,2,X,0,p,t,0
to pass by,195,2,X,0,t,y,0
brother,196,2,X,0,b,r,0
car,197,2,X,0,c,r,0
minute,198,2,X,0,m,e,0
therefore,199,2,X,0,t,e,0
side,200,2,X,0,s,e,0
their,201,3,X,0,t,r,0
to open,202,3,X,0,t,n,0
to carry,203,3,X,0,t,y,0
same,204,3,X,0,s,e,0
to be allowed to,205,3,X,0,t,o,0
under,206,3,X,0,u,r,0
several,207,3,X,0,s,l,0
real,208,3,X,0,r,l,0
moon,209,3,X,0,m,n,0
together,210,3,X,0,t,r,0
important,211,3,X,0,i,t,0
tomorrow,212,3,X,0,t,w,0
to lead,213,3,X,0,t,d,0
to show,214,3,X,0,t,w,0
to here,215,3,X,0,t,e,0
word,216,3,X,0,w,d,0
happy,217,3,X,0,h,y,0
death,218,3,X,0,d,h,0
week,219,3,X,0,w,k,0
except,220,3,X,0,e,t,0
dear,221,3,X,0,d,r,0
ship,222,3,X,0,s,p,0
to bring,223,3,X,0,t,g,0
number,224,3,X,0,n,r,0
to arrive,225,3,X,0,t,e,0
probably,226,3,X,0,p,y,0
badly,227,3,X,0,b,y,0
to sleep,228,3,X,0,t,p,0
great,229,3,X,0,g,t,0
last,230,3,X,0,l,t,0
pair,231,3,X,0,p,r,0
sister,232,3,X,0,s,r,0
tonight,233,3,X,0,t,t,0
inside,234,3,X,0,i,e,0
water,235,3,X,0,w,r,0
help,236,3,X,0,h,p,0
love,237,3,X,0,l,e,0
also,238,3,X,0,a,o,0
school,239,3,X,0,s,l,0
to buy,240,3,X,0,t,y,0
along,241,3,X,0,a,g,0
idea,242,3,X,0,i,a,0
to invite,243,3,X,0,t,e,0
down,244,3,X,0,d,n,0
face,245,3,X,0,f,e,0
to set off,246,3,X,0,t,f,0
to eat,247,3,X,0,t,t,0
hundred,248,3,X,0,h,d,0
across,249,3,X,0,a,s,0
outside,250,3,X,0,o,e,0
plan,251,3,X,0,p,n,0
beautiful,252,3,X,0,b,l,0
blood,253,3,X,0,b,d,0
picture,254,3,X,0,p,e,0
necessary,255,3,X,0,n,y,0
man,256,3,X,0,m,n,0
game,257,3,X,0,g,e,0
to pay,258,3,X,0,t,y,0
bad,259,3,X,0,b,d,0
office,260,3,X,0,o,e,0
five,261,3,X,0,f,e,0
easily,262,3,X,0,e,y,0
morning,263,3,X,0,m,g,0
to be careful,264,3,X,0,t,l,0
crazy,265,3,X,0,c,y,0
behind,266,3,X,0,b,d,0
dog,267,3,X,0,d,g,0
the others,268,3,X,0,t,s,0
to notify,269,3,X,0,t,y,0
party,270,3,X,0,p,y,0
book,271,3,X,0,b,k,0
leg,272,3,X,0,l,g,0
dream,273,3,X,0,d,m,0
to stand,274,3,X,0,t,d,0
to learn,275,3,X,0,t,n,0
to write,276,3,X,0,t,e,0
at all,277,3,X,0,a,l,0
message,278,3,X,0,m,e,0
near,279,3,X,0,n,r,0
happiness,280,3,X,0,h,s,0
to fall,281,3,X,0,t,l,0
next,282,3,X,0,n,t,0
boss,283,3,X,0,b,s,0
young,284,3,X,0,y,g,0
to stop,285,3,X,0,t,p,0
madam,286,3,X,0,m,m,0
husband,287,3,X,0,h,d,0
food,288,3,X,0,f,d,0
her,289,3,X,0,h,r,0
half,290,3,X,0,h,f,0
pistol,291,3,X,0,p,l,0
to expect,292,3,X,0,t,t,0
alive,293,3,X,0,a,e,0
phone,294,3,X,0,p,e,0
to sit,295,3,X,0,t,t,0
film,296,3,X,0,f,m,0
evening,297,3,X,0,e,g,0
between,298,3,X,0,b,n,0
to decide,299,3,X,0,t,e,0
opportunity,300,3,X,0,o,y,0
street,301,4,X,0,s,t,0
early,302,4,X,0,e,y,0
peace,303,4,X,0,p,e,0
soon,304,4,X,0,s,n,0
parent,305,4,X,0,p,t,0
to flee,306,4,X,0,t,e,0
full,307,4,X,0,f,l,0
bed,308,4,X,0,b,d,0
answer,309,4,X,0,a,r,0
to sound,310,4,X,0,t,d,0
hospital,311,4,X,0,h,l,0
excellently,312,4,X,0,e,y,0
possible,313,4,X,0,p,e,0
apartment,314,4,X,0,a,t,0
only; appetite,315,4,X,0,o,e,0
to go out,316,4,X,0,t,t,0
drink,317,4,X,0,d,k,0
main,318,4,X,0,m,n,0
police officer,319,4,X,0,p,r,0
stupid,320,4,X,0,s,d,0
constantly,321,4,X,0,c,y,0
four,322,4,X,0,f,r,0
easy,323,4,X,0,e,y,0
in front of,324,4,X,0,i,f,0
almost,325,4,X,0,a,t,0
to be missing,326,4,X,0,t,g,0
meeting,327,4,X,0,m,g,0
dinner,328,4,X,0,d,r,0
sometimes,329,4,X,0,s,s,0
to close,330,4,X,0,t,e,0
where to,331,4,X,0,w,o,0
to sit down,332,4,X,0,t,n,0
invitation,333,4,X,0,i,n,0
to watch over,334,4,X,0,t,r,0
to drink,335,4,X,0,t,k,0
sign,336,4,X,0,s,n,0
secret,337,4,X,0,s,t,0
consideration,338,4,X,0,c,n,0
king,339,4,X,0,k,g,0
strong,340,4,X,0,s,g,0
gladly,341,4,X,0,g,y,0
six,342,4,X,0,s,x,1
conversation,343,4,X,0,c,n,0
to hurt,344,4,X,0,t,t,0
million,345,4,X,0,m,n,0
baby,346,4,X,0,b,y,0
meaning,347,4,X,0,m,g,0
black,348,4,X,0,b,k,0
to explain,349,4,X,0,t,n,0
horse,350,4,X,0,h,e,0
as soon as,351,4,X,0,a,s,0
beginning,352,4,X,0,b,g,0
from where,353,4,X,0,f,e,0
law,354,4,X,0,l,w,0
fight,355,4,X,0,f,t,0
to tell,356,4,X,0,t,l,0
rule,357,4,X,0,r,e,0
work,358,4,X,0,w,k,0
heavy,359,4,X,0,h,y,0
information,360,4,X,0,i,n,0
holy,361,4,X,0,h,y,0
table,362,4,X,0,t,e,0
to try,363,4,X,0,t,y,0
to spend,364,4,X,0,t,d,0
key,365,4,X,0,k,y,0
human,366,4,X,0,h,n,0
bill,367,4,X,0,b,l,0
in the morning,368,4,X,0,i,g,0
to think over,369,4,X,0,t,r,0
to read,370,4,X,0,t,d,0
coffee,371,4,X,0,c,e,0
free,372,4,X,0,f,e,0
to enjoy,373,4,X,0,t,y,0
hair,374,4,X,0,h,r,0
soldier,375,4,X,0,s,r,0
known,376,4,X,0,k,n,0
voice,377,4,X,0,v,e,0
letter,378,4,X,0,l,r,0
fun,379,4,X,0,f,n,0
state,380,4,X,0,s,e,0
thousand,381,4,X,0,t,d,0
song,382,4,X,0,s,g,0
ten,383,4,X,0,t,n,0
angry,384,4,X,0,a,y,0
many,385,4,X,0,m,y,0
home,386,4,X,0,h,e,0
building,387,4,X,0,b,g,0
company,388,4,X,0,c,y,0
ticket,389,4,X,0,t,t,0
situation,390,4,X,0,s,n,0
air,391,4,X,0,a,r,0
damage,392,4,X,0,d,e,0
red,393,4,X,0,r,d,0
view,394,4,X,0,v,w,0
to move,395,4,X,0,t,e,0
medicine,396,4,X,0,m,e,0
data,397,4,X,0,d,a,0
president,398,4,X,0,p,t,0
smart,399,4,X,0,s,t,0
to promise,400,4,X,0,t,e,0
this morning,401,5,X,0,t,g,0
majority,402,5,X,0,m,y,0
white,403,5,X,0,w,e,0
evil,404,5,X,0,e,l,0
wall,405,5,X,0,w,l,0
light,406,5,X,0,l,t,0
yesterday,407,5,X,0,y,y,0
hotel,408,5,X,0,h,l,0
English,409,5,X,0,E,h,0
otherwise,410,5,X,0,o,e,0
color,411,5,X,0,c,r,0
planet,412,5,X,0,p,t,0
club,413,5,X,0,c,b,0
often,414,5,X,0,o,n,0
barely,415,5,X,0,b,y,0
cheese,416,5,X,0,c,e,0
among,417,5,X,0,a,g,0
airplane,418,5,X,0,a,e,0
animal,419,5,X,0,a,l,0
usually,420,5,X,0,u,y,0
past,421,5,X,0,p,t,0
fool,422,5,X,0,f,l,0
clean,423,5,X,0,c,n,0
definitely,424,5,X,0,d,y,0
instead of,425,5,X,0,i,f,0
next to,426,5,X,0,n,o,0
star,427,5,X,0,s,r,0
sick,428,5,X,0,s,k,0
clothing,429,5,X,0,c,g,0
box,430,5,X,0,b,x,1
Sun,431,5,X,0,S,n,0
to sell,432,5,X,0,t,l,0
to set,433,5,X,0,t,t,0
people,434,5,X,0,p,e,0
to walk,435,5,X,0,t,k,0
window,436,5,X,0,w,w,0
sweet,437,5,X,0,s,t,0
interesting,438,5,X,0,i,g,0
to drink up,439,5,X,0,t,p,0
church,440,5,X,0,c,h,0
to choose,441,5,X,0,t,e,0
relationship,442,5,X,0,r,p,0
special,443,5,X,0,s,l,0
cold,444,5,X,0,c,d,0
to eat up,445,5,X,0,t,p,0
patient,446,5,X,0,p,t,0
price,447,5,X,0,p,e,0
especially,448,5,X,0,e,y,0
happily,449,5,X,0,h,y,0
to plan,450,5,X,0,t,n,0
welcome,451,5,X,0,w,e,0
wife,452,5,X,0,w,e,0
grandmother,453,5,X,0,g,r,0
to answer,454,5,X,0,t,r,0
lunch,455,5,X,0,l,h,0
former,456,5,X,0,f,r,0
group,457,5,X,0,g,p,0
beer,458,5,X,0,b,r,0
serious,459,5,X,0,s,s,0
music,460,5,X,0,m,c,0
bank,461,5,X,0,b,k,0
possibility,462,5,X,0,p,y,0
wedding,463,5,X,0,w,g,0
seven,464,5,X,0,s,n,0
excellent,465,5,X,0,e,t,0
finally,466,5,X,0,f,y,0
third,467,5,X,0,t,d,0
change,468,5,X,0,c,e,0
to use up,469,5,X,0,t,p,0
language,470,5,X,0,l,e,0
America,471,5,X,0,A,a,0
difference,472,5,X,0,d,e,0
client,473,5,X,0,c,t,0
to be worth,474,5,X,0,t,h,0
grandfather,475,5,X,0,g,r,0
center,476,5,X,0,c,r,0
Christmas,477,5,X,0,C,s,0
tall,478,5,X,0,t,l,0
birthday,479,5,X,0,b,y,0
stop,480,5,X,0,s,p,0
area,481,5,X,0,a,a,0
long,482,5,X,0,l,g,0
doctor,483,5,X,0,d,r,0
tooth,484,5,X,0,t,h,0
agreement,485,5,X,0,a,t,0
hungry,486,5,X,0,h,y,0
paper,487,5,X,0,p,r,0
to last,488,5,X,0,t,t,0
perfect,489,5,X,0,p,t,0
mobile phone,490,5,X,0,m,e,0
member,491,5,X,0,m,r,0
to occupy,492,5,X,0,t,y,0
opinion,493,5,X,0,o,n,0
eight,494,5,X,0,e,t,0
to belong,495,5,X,0,t,g,0
port,496,5,X,0,p,t,0
to stand up,497,5,X,0,t,p,0
above,498,5,X,0,a,e,0
travel,499,5,X,0,t,l,0
surprise,500,5,X,0,s,e,0
need,501,6,X,0,n,d,0
to refuse,502,6,X,0,t,e,0
shoe,503,6,X,0,s,e,0
address,504,6,X,0,a,s,0
bag,505,6,X,0,b,g,0
American,506,6,X,0,A,n,0
egg,507,6,X,0,e,g,0
tired,508,6,X,0,t,d,0
to connect,509,6,X,0,t,t,0
forest,510,6,X,0,f,t,0
fish,511,6,X,0,f,h,0
program,512,6,X,0,p,m,0
French,513,6,X,0,F,h,0
to congratulate,514,6,X,0,t,e,0
vehicle,515,6,X,0,v,e,0
rest,516,6,X,0,r,t,0
park,517,6,X,0,p,k,0
wine,518,6,X,0,w,e,0
guest,519,6,X,0,g,t,0
sky,520,6,X,0,s,y,0
tea,521,6,X,0,t,a,0
gold,522,6,X,0,g,d,0
restaurant,523,6,X,0,r,t,0
power,524,6,X,0,p,r,0
store,525,6,X,0,s,e,0
blue,526,6,X,0,b,e,0
to offer,527,6,X,0,t,r,0
female,528,6,X,0,f,e,0
whose,529,6,X,0,w,e,0
in the past,530,6,X,0,i,t,0
greeting,531,6,X,0,g,g,0
urgent,532,6,X,0,u,t,0
energy,533,6,X,0,e,y,0
meter,534,6,X,0,m,r,0
task,535,6,X,0,t,k,0
train,536,6,X,0,t,n,0
to change,537,6,X,0,t,e,0
river,538,6,X,0,r,r,0
village,539,6,X,0,v,e,0
sea,540,6,X,0,s,a,0
dress,541,6,X,0,d,s,0
kitchen,542,6,X,0,k,n,0
show,543,6,X,0,s,w,0
queen,544,6,X,0,q,n,0
photography,545,6,X,0,p,y,0
wish,546,6,X,0,w,h,0
reward,547,6,X,0,r,d,0
weekend,548,6,X,0,w,d,0
uncle,549,6,X,0,u,e,0
knife,550,6,X,0,k,e,0
result,551,6,X,0,r,t,0
fast,552,6,X,0,f,t,0
satisfaction,553,6,X,0,s,n,0
list,554,6,X,0,l,t,0
different,555,6,X,0,d,t,0
professor,556,6,X,0,p,r,0
role,557,6,X,0,r,e,0
space,558,6,X,0,s,e,0
gift,559,6,X,0,g,t,0
completely,560,6,X,0,c,y,0
handsome,561,6,X,0,h,e,0
sound,562,6,X,0,s,d,0
bird,563,6,X,0,b,d,0
usual,564,6,X,0,u,l,0
island,565,6,X,0,i,d,0
straight,566,6,X,0,s,t,0
trash,567,6,X,0,t,h,0
which way,568,6,X,0,w,y,0
ride,569,6,X,0,r,e,0
proximity,570,6,X,0,p,y,0
unfortunately,571,6,X,0,u,y,0
respect,572,6,X,0,r,t,0
to play an instrument,573,6,X,0,t,t,0
to prepare,574,6,X,0,t,e,0
to protect,575,6,X,0,t,t,0
speech,576,6,X,0,s,h,0
meat,577,6,X,0,m,t,0
to run,578,6,X,0,t,n,0
middle,579,6,X,0,m,e,0
field,580,6,X,0,f,d,0
mountain,581,6,X,0,m,n,0
goal,582,6,X,0,g,l,0
to make a mistake,583,6,X,0,t,e,0
experience,584,6,X,0,e,e,0
point,585,6,X,0,p,t,0
motorcycle,586,6,X,0,m,e,0
in love,587,6,X,0,i,e,0
card,588,6,X,0,c,d,0
to adore,589,6,X,0,t,e,0
brothers,590,6,X,0,b,s,0
age,591,6,X,0,a,e,0
empty,592,6,X,0,e,y,0
mostly,593,6,X,0,m,y,0
responsible,594,6,X,0,r,e,0
tree,595,6,X,0,t,e,0
example,596,6,X,0,e,e,0
to visit,597,6,X,0,t,t,0
personal,598,6,X,0,p,l,0
match,599,6,X,0,m,h,0
to travel,600,6,X,0,t,l,0
to sign,601,7,X,0,t,n,0
character,602,7,X,0,c,r,0
bridge,603,7,X,0,b,e,0
floor,604,7,X,0,f,r,0
cat,605,7,X,0,c,t,0
ring,606,7,X,0,r,g,0
nice,607,7,X,0,n,e,0
to surprise,608,7,X,0,t,e,0
page,609,7,X,0,p,e,0
ice,610,7,X,0,i,e,0
computer,611,7,X,0,c,r,0
automobile,612,7,X,0,a,e,0
suit,613,7,X,0,s,t,0
fifth,614,7,X,0,f,h,0
to convert,615,7,X,0,t,t,0
shape,616,7,X,0,s,e,0
contract,617,7,X,0,c,t,0
nature,618,7,X,0,n,e,0
visit,619,7,X,0,v,t,0
calm,620,7,X,0,c,m,0
to repeat,621,7,X,0,t,t,0
nine,622,7,X,0,n,e,0
to greet,623,7,X,0,t,t,0
to be late,624,7,X,0,t,e,0
to sing,625,7,X,0,t,g,0
victory,626,7,X,0,v,y,0
ball,627,7,X,0,b,l,0
journalist,628,7,X,0,j,t,0
darkness,629,7,X,0,d,s,0
source,630,7,X,0,s,e,0
dish,631,7,X,0,d,h,0
to the left,632,7,X,0,t,t,0
event,633,7,X,0,e,t,0
close,634,7,X,0,c,e,0
hot,635,7,X,0,h,t,0
neighbor,636,7,X,0,n,r,0
to the right,637,7,X,0,t,t,0
to come up with,638,7,X,0,t,h,0
Friday,639,7,X,0,F,y,0
medical,640,7,X,0,m,l,0
roof,641,7,X,0,r,f,0
coast,642,7,X,0,c,t,0
sleeping,643,7,X,0,s,g,0
recently,644,7,X,0,r,y,0
glass,645,7,X,0,g,s,0
green,646,7,X,0,g,n,0
research,647,7,X,0,r,h,0
to dream,648,7,X,0,t,m,0
purpose,649,7,X,0,p,e,0
weak,650,7,X,0,w,k,0
teacher,651,7,X,0,t,r,0
rain,652,7,X,0,r,n,0
chair,653,7,X,0,c,r,0
internet,654,7,X,0,i,t,0
to select,655,7,X,0,t,t,0
to recognize,656,7,X,0,t,e,0
satisfied,657,7,X,0,s,d,0
young man,658,7,X,0,y,n,0
breakfast,659,7,X,0,b,t,0
pants,660,7,X,0,p,s,0
coach,661,7,X,0,c,h,0
entrance,662,7,X,0,e,e,0
colleague,663,7,X,0,c,e,0
goodbye,664,7,X,0,g,e,0
direction,665,7,X,0,d,n,0
driver,666,7,X,0,d,r,0
favorite,667,7,X,0,f,e,0
left,668,7,X,0,l,t,0
lake,669,7,X,0,l,e,0
beach,670,7,X,0,b,h,0
laboratory,671,7,X,0,l,y,0
to depend,672,7,X,0,t,d,0
Sunday,673,7,X,0,S,y,0
newspaper,674,7,X,0,n,r,0
brave,675,7,X,0,b,e,0
to smoke,676,7,X,0,t,e,0
bus,677,7,X,0,b,s,0
level,678,7,X,0,l,l,0
to add,679,7,X,0,t,d,0
German,680,7,X,0,G,n,0
to respect,681,7,X,0,t,t,0
daughter,682,7,X,0,d,r,0
to dance,683,7,X,0,t,e,0
in the evening,684,7,X,0,i,g,0
topic,685,7,X,0,t,c,0
relative,686,7,X,0,r,e,0
Saturday,687,7,X,0,S,y,0
late,688,7,X,0,l,e,0
project,689,7,X,0,p,t,0
summer,690,7,X,0,s,r,0
sample,691,7,X,0,s,e,0
to earn,692,7,X,0,t,n,0
flowers,693,7,X,0,f,s,0
size,694,7,X,0,s,e,0
ugly,695,7,X,0,u,y,0
to propose,696,7,X,0,t,e,0
to lie,697,7,X,0,t,e,0
to win,698,7,X,0,t,n,0
afternoon,699,7,X,0,a,n,0
technology,700,7,X,0,t,y,0
to cost,701,8,X,0,t,t,0
to act,702,8,X,0,t,t,0
gorgeous,703,8,X,0,g,s,0
twice,704,8,X,0,t,e,0
politics,705,8,X,0,p,s,0
at night,706,8,X,0,a,t,0
to order,707,8,X,0,t,r,0
to burn,708,8,X,0,t,n,0
means,709,8,X,0,m,s,0
pool,710,8,X,0,p,l,0
silence,711,8,X,0,s,e,0
century,712,8,X,0,c,y,0
basement,713,8,X,0,b,t,0
report,714,8,X,0,r,t,0
board,715,8,X,0,b,d,0
terrible,716,8,X,0,t,e,0
cinema,717,8,X,0,c,a,0
to jump,718,8,X,0,t,p,0
taxi,719,8,X,0,t,i,0
worker,720,8,X,0,w,r,0
device,721,8,X,0,d,e,0
polite,722,8,X,0,p,e,0
milk,723,8,X,0,m,k,0
apology,724,8,X,0,a,y,0
position,725,8,X,0,p,n,0
cake,726,8,X,0,c,e,0
west,727,8,X,0,w,t,0
fat,728,8,X,0,f,t,0
ability,729,8,X,0,a,y,0
common,730,8,X,0,c,n,0
intention,731,8,X,0,i,n,0
male,732,8,X,0,m,e,0
season,733,8,X,0,s,n,0
whisky,734,8,X,0,w,y,0
sad,735,8,X,0,s,d,0
t-shirt,736,8,X,0,t,t,0
faculty,737,8,X,0,f,y,0
mess,738,8,X,0,m,s,0
to fly,739,8,X,0,t,y,0
garden,740,8,X,0,g,n,0
equally,741,8,X,0,e,y,0
alcohol,742,8,X,0,a,l,0
sugar,743,8,X,0,s,r,0
juice,744,8,X,0,j,e,0
appearance,745,8,X,0,a,e,0
to replace,746,8,X,0,t,e,0
circumstance,747,8,X,0,c,e,0
passage,748,8,X,0,p,e,0
short,749,8,X,0,s,t,0
encounter,750,8,X,0,e,r,0
basis,751,8,X,0,b,s,0
surface,752,8,X,0,s,e,0
east,753,8,X,0,e,t,0
station,754,8,X,0,s,n,0
airport,755,8,X,0,a,t,0
to use,756,8,X,0,t,e,0
salt,757,8,X,0,s,t,0
gorgeously,758,8,X,0,g,y,0
to borrow,759,8,X,0,t,w,0
so far,760,8,X,0,s,r,0
wonderful,761,8,X,0,w,l,0
priest,762,8,X,0,p,t,0
health,763,8,X,0,h,h,0
to hit,764,8,X,0,t,t,0
pocket,765,8,X,0,p,t,0
shop,766,8,X,0,s,p,0
interest,767,8,X,0,i,t,0
product,768,8,X,0,p,t,0
simple,769,8,X,0,s,e,0
doll,770,8,X,0,d,l,0
gratitude,771,8,X,0,g,e,0
snake,772,8,X,0,s,e,0
passenger,773,8,X,0,p,r,0
golden,774,8,X,0,g,n,0
to create,775,8,X,0,t,e,0
north,776,8,X,0,n,h,0
midnight,777,8,X,0,m,t,0
aunt,778,8,X,0,a,t,0
subject,779,8,X,0,s,t,0
minister,780,8,X,0,m,r,0
hallway,781,8,X,0,h,y,0
hat,782,8,X,0,h,t,0
series,783,8,X,0,s,s,0
all sorts of things,784,8,X,0,a,s,0
yard,785,8,X,0,y,d,0
lesson,786,8,X,0,l,n,0
Europe,787,8,X,0,E,e,0
bread,788,8,X,0,b,d,0
monkey,789,8,X,0,m,y,0
pupil,790,8,X,0,p,l,0
activity,791,8,X,0,a,y,0
expression,792,8,X,0,e,n,0
thinking,793,8,X,0,t,g,0
healthy,794,8,X,0,h,y,0
to publish,795,8,X,0,t,h,0
to celebrate,796,8,X,0,t,e,0
south,797,8,X,0,s,h,0
similar,798,8,X,0,s,r,0
ocean,799,8,X,0,o,n,0
wardrobe,800,8,X,0,w,e,0
to lie down,801,9,X,0,t,n,0
kiss,802,9,X,0,k,s,0
kilometer,803,9,X,0,k,r,0
date,804,9,X,0,d,e,0
to finish,805,9,X,0,t,h,0
foreigner,806,9,X,0,f,r,0
shirt,807,9,X,0,s,t,0
pleasant,808,9,X,0,p,t,0
Monday,809,9,X,0,M,y,0
