lemma,translation,language,is_primary,provenance
to pass by,prolaziti,hr,0,llm_only
brother,brat,hr,1,llm_only
car,auto,hr,1,llm_only
minute,minuta,hr,1,llm_only
therefore,dakle,hr,1,llm_only
side,strana,hr,1,llm_only
their,njihov,hr,1,llm_only
to open,otvarati,hr,1,llm_only
to open,otvoriti,hr,0,llm_only
to carry,nositi,hr,1,llm_only
same,isti,hr,1,llm_only
to be allowed to,smjeti,hr,1,llm_only
under,ispod,hr,1,llm_only
under,pod,hr,0,llm_only
several,nekoliko,hr,1,llm_only
real,prav,hr,1,llm_only
moon,mjesec,hr,1,llm_only
together,zajedno,hr,1,llm_only
important,važan,hr,1,llm_only
tomorrow,sutra,hr,1,llm_only
to lead,voditi,hr,1,llm_only
to show,pokazati,hr,1,llm_only
to here,ovamo,hr,1,llm_only
word,riječ,hr,1,llm_only
happy,sretan,hr,1,llm_only
death,smrt,hr,1,llm_only
week,tjedan,hr,1,llm_only
except,osim,hr,1,llm_only
dear,drag,hr,1,llm_only
ship,brod,hr,1,llm_only
to bring,donijeti,hr,1,llm_only
number,broj,hr,1,llm_only
number,brojka,hr,0,llm_only
to arrive,stići,hr,1,llm_only
probably,vjerojatno,hr,1,llm_only
badly,loše,hr,1,llm_only
to sleep,spavati,hr,1,llm_only
great,sjajan,hr,1,llm_only
great,super,hr,0,llm_only
last,zadnji,hr,1,llm_only
pair,par,hr,1,llm_only
sister,sestra,hr,1,llm_only
tonight,večeras,hr,1,llm_only
inside,unutar,hr,1,llm_only
inside,unutra,hr,0,llm_only
water,voda,hr,1,llm_only
help,pomoć,hr,1,llm_only
love,ljubav,hr,1,llm_only
also,isto,hr,1,llm_only
also,također,hr,0,llm_only
school,škola,hr,1,llm_only
to buy,kupiti,hr,1,llm_only
to buy,kupovati,hr,0,llm_only
along,uz,hr,1,llm_only
idea,ideja,hr,1,llm_only
to invite,pozivati,hr,1,llm_only
to invite,pozvati,hr,0,llm_only
down,dolje,hr,1,llm_only
face,lice,hr,1,llm_only
to set off,krenuti,hr,1,llm_only
to eat,jesti,hr,1,llm_only
hundred,sto,hr,1,llm_only
across,preko,hr,1,llm_only
outside,van,hr,1,llm_only
outside,vani,hr,0,llm_only
plan,plan,hr,1,llm_only
beautiful,lijep,hr,1,llm_only
blood,krv,hr,1,llm_only
picture,slika,hr,1,llm_only
necessary,potreban,hr,1,llm_only
man,muškarac,hr,1,llm_only
game,igra,hr,1,llm_only
to pay,plaćati,hr,1,llm_only
to pay,platiti,hr,0,llm_only
bad,loš,hr,1,llm_only
office,ured,hr,1,llm_only
five,pet,hr,1,llm_only
easily,lako,hr,1,llm_only
morning,jutro,hr,1,llm_only
morning,prijepodne,hr,0,llm_only
to be careful,paziti,hr,1,llm_only
crazy,lud,hr,1,llm_only
behind,iza,hr,1,llm_only
dog,pas,hr,1,llm_only
the others,ostali,hr,1,llm_only
to notify,javiti,hr,1,llm_only
to notify,javljati,hr,0,llm_only
party,tulum,hr,1,llm_only
party,zabava,hr,0,llm_only
book,knjiga,hr,1,llm_only
leg,noga,hr,1,llm_only
dream,san,hr,1,llm_only
to stand,stajati,hr,1,llm_only
to learn,naučiti,hr,1,llm_only
to learn,učiti,hr,0,llm_only
to write,napisati,hr,1,llm_only
to write,pisati,hr,0,llm_only
at all,uopće,hr,1,llm_only
message,poruka,hr,1,llm_only
near,blizu,hr,1,llm_only
happiness,sreća,hr,1,llm_only
to fall,padati,hr,1,llm_only
to fall,pasti,hr,0,llm_only
next,sljedeći,hr,1,llm_only
boss,šef,hr,1,llm_only
boss,šefica,hr,0,llm_only
young,mlad,hr,1,llm_only
to stop,zaustaviti,hr,1,llm_only
madam,gospođa,hr,1,llm_only
husband,muž,hr,1,llm_only
food,hrana,hr,1,llm_only
her,njezin,hr,1,llm_only
half,pola,hr,1,llm_only
pistol,pištolj,hr,1,llm_only
to expect,očekivati,hr,1,llm_only
alive,živ,hr,1,llm_only
phone,telefon,hr,1,llm_only
phone,telefonski,hr,0,llm_only
to sit,sjediti,hr,1,llm_only
film,film,hr,1,llm_only
evening,večer,hr,1,llm_only
between,između,hr,1,llm_only
to decide,odlučiti,hr,1,llm_only
opportunity,prilika,hr,1,llm_only
street,ulica,hr,1,llm_only
early,rano,hr,1,llm_only
peace,mir,hr,1,llm_only
soon,uskoro,hr,1,llm_only
parent,roditelj,hr,1,llm_only
to flee,pobjeći,hr,1,llm_only
full,pun,hr,1,llm_only
bed,krevet,hr,1,llm_only
answer,odgovor,hr,1,llm_only
to sound,zvučiti,hr,1,llm_only
hospital,bolnica,hr,1,llm_only
excellently,izvrsno,hr,1,llm_only
excellently,odlično,hr,0,llm_only
possible,moguć,hr,1,llm_only
apartment,stan,hr,1,llm_only
only; appetite,tek,hr,1,llm_only
to go out,izići,hr,1,llm_only
to go out,izlaziti,hr,0,llm_only
drink,piće,hr,1,llm_only
main,glavni,hr,1,llm_only
police officer,policajac,hr,1,llm_only
police officer,policajka,hr,0,llm_only
stupid,glup,hr,1,llm_only
constantly,stalno,hr,1,llm_only
four,četiri,hr,1,llm_only
easy,lak,hr,1,llm_only
in front of,ispred,hr,1,llm_only
in front of,pred,hr,0,llm_only
almost,skoro,hr,1,llm_only
to be missing,nedostajati,hr,1,llm_only
meeting,sastanak,hr,1,llm_only
dinner,večera,hr,1,llm_only
sometimes,ponekad,hr,1,llm_only
to close,zatvoriti,hr,1,llm_only
where to,kamo,hr,1,llm_only
to sit down,sjesti,hr,1,llm_only
invitation,poziv,hr,1,llm_only
invitation,pozivnica,hr,0,llm_only
to watch over,čuvati,hr,1,llm_only
to drink,piti,hr,1,llm_only
sign,znak,hr,1,llm_only
secret,tajna,hr,1,llm_only
consideration,obzir,hr,1,llm_only
king,kralj,hr,1,llm_only
strong,jak,hr,1,llm_only
gladly,rado,hr,1,llm_only
six,šest,hr,1,llm_only
conversation,razgovor,hr,1,llm_only
to hurt,boljeti,hr,1,llm_only
million,milijun,hr,1,llm_only
baby,beba,hr,1,llm_only
meaning,smisao,hr,1,llm_only
meaning,značenje,hr,0,llm_only
black,crn,hr,1,llm_only
to explain,objasniti,hr,1,llm_only
horse,konj,hr,1,llm_only
as soon as,čim,hr,1,llm_only
beginning,početak,hr,1,llm_only
from where,odakle,hr,1,llm_only
law,zakon,hr,1,llm_only
fight,borba,hr,1,llm_only
to tell,ispričati,hr,1,llm_only
rule,pravilo,hr,1,llm_only
work,rad,hr,1,llm_only
work,radni,hr,0,llm_only
heavy,težak,hr,1,llm_only
information,informacija,hr,1,llm_only
holy,svet,hr,1,llm_only
table,stol,hr,1,llm_only
table,tablica,hr,0,llm_only
to try,probati,hr,1,llm_only
to spend,potrošiti,hr,1,llm_only
to spend,provesti,hr,0,llm_only
to spend,provoditi,hr,0,llm_only
key,ključ,hr,1,llm_only
human,ljudski,hr,1,llm_only
bill,račun,hr,1,llm_only
in the morning,ujutro,hr,1,llm_only
to think over,razmisliti,hr,1,llm_only
to read,čitati,hr,1,llm_only
to read,pročitati,hr,0,llm_only
coffee,kava,hr,1,llm_only
free,slobodan,hr,1,llm_only
to enjoy,uživati,hr,1,llm_only
hair,kosa,hr,1,llm_only
soldier,vojnik,hr,1,llm_only
known,poznat,hr,1,llm_only
voice,glas,hr,1,llm_only
letter,pismo,hr,1,llm_only
letter,slovo,hr,0,llm_only
fun,zabavan,hr,1,llm_only
state,država,hr,1,llm_only
state,stanje,hr,0,llm_only
thousand,tisuća,hr,1,llm_only
song,pjesma,hr,1,llm_only
ten,deset,hr,1,llm_only
angry,ljut,hr,1,llm_only
many,mnogi,hr,1,llm_only
home,dom,hr,1,llm_only
building,zgrada,hr,1,llm_only
company,društvo,hr,1,llm_only
company,kompanija,hr,0,llm_only
ticket,karta,hr,1,llm_only
situation,situacija,hr,1,llm_only
air,avionski,hr,1,llm_only
air,zrak,hr,0,llm_only
damage,šteta,hr,1,llm_only
red,crven,hr,1,llm_only
view,pogled,hr,1,llm_only
to move,kretati,hr,1,llm_only
to move,kretati se,hr,0,llm_only
medicine,lijek,hr,1,llm_only
medicine,medicina,hr,0,llm_only
data,podatak,hr,1,llm_only
president,predsjednica,hr,1,llm_only
president,predsjednik,hr,0,llm_only
smart,pametan,hr,1,llm_only
to promise,obećati,hr,1,llm_only
this morning,jutros,hr,1,llm_only
majority,većina,hr,1,llm_only
white,bijel,hr,1,llm_only
evil,zao,hr,1,llm_only
evil,zlo,hr,0,llm_only
wall,zid,hr,1,llm_only
light,lagan,hr,1,llm_only
light,svjetlo,hr,0,llm_only
yesterday,jučer,hr,1,llm_only
hotel,hotel,hr,1,llm_only
English,engleski,hr,1,llm_only
otherwise,inače,hr,1,llm_only
color,boja,hr,1,llm_only
planet,planet,hr,1,llm_only
club,klub,hr,1,llm_only
often,često,hr,1,llm_only
barely,jedva,hr,1,llm_only
cheese,sir,hr,1,llm_only
among,među,hr,1,llm_only
airplane,avion,hr,1,llm_only
animal,životinja,hr,1,llm_only
usually,obično,hr,1,llm_only
past,prošli,hr,1,llm_only
fool,budala,hr,1,llm_only
clean,čist,hr,1,llm_only
definitely,svakako,hr,1,llm_only
instead of,umjesto,hr,1,llm_only
next to,pokraj,hr,1,llm_only
next to,pored,hr,0,llm_only
star,zvijezda,hr,1,llm_only
sick,bolestan,hr,1,llm_only
clothing,odjeća,hr,1,llm_only
box,kutija,hr,1,llm_only
Sun,Sunce,hr,1,llm_only
to sell,prodati,hr,1,llm_only
to set,postaviti,hr,1,llm_only
to set,postavljati,hr,0,llm_only
people,narod,hr,1,llm_only
to walk,hodati,hr,1,llm_only
to walk,šetati se,hr,0,llm_only
window,prozor,hr,1,llm_only
sweet,sladak,hr,1,llm_only
interesting,zanimljiv,hr,1,llm_only
to drink up,popiti,hr,1,llm_only
church,crkva,hr,1,llm_only
to choose,izabrati,hr,1,llm_only
relationship,odnos,hr,1,llm_only
special,poseban,hr,1,llm_only
special,specijalan,hr,0,llm_only
cold,hladan,hr,1,llm_only
to eat up,pojesti,hr,1,llm_only
patient,pacijent,hr,1,llm_only
price,cijena,hr,1,llm_only
especially,posebno,hr,1,llm_only
happily,sretno,hr,1,llm_only
to plan,planirati,hr,1,llm_only
welcome,dobrodošao,hr,1,llm_only
welcome,dobrodošlica,hr,0,llm_only
wife,supruga,hr,1,llm_only
grandmother,baka,hr,1,llm_only
to answer,odgovarati,hr,1,llm_only
to answer,odgovoriti,hr,0,llm_only
lunch,ručak,hr,1,llm_only
former,bivši,hr,1,llm_only
group,grupa,hr,1,llm_only
group,grupni,hr,0,llm_only
beer,pivo,hr,1,llm_only
serious,ozbiljan,hr,1,llm_only
music,glazba,hr,1,llm_only
bank,banka,hr,1,llm_only
possibility,mogućnost,hr,1,llm_only
wedding,svadba,hr,1,llm_only
wedding,vjenčanje,hr,0,llm_only
seven,sedam,hr,1,llm_only
excellent,izvrstan,hr,1,llm_only
excellent,odličan,hr,0,llm_only
finally,konačno,hr,1,llm_only
finally,napokon,hr,0,llm_only
third,treći,hr,1,llm_only
change,promjena,hr,1,llm_only
to use up,iskoristiti,hr,1,llm_only
language,jezik,hr,1,llm_only
America,Amerika,hr,1,llm_only
difference,razlika,hr,1,llm_only
client,klijent,hr,1,llm_only
to be worth,vrijediti,hr,1,llm_only
grandfather,djed,hr,1,llm_only
center,centar,hr,1,llm_only
Christmas,Božić,hr,1,llm_only
tall,visok,hr,1,llm_only
birthday,rođendan,hr,1,llm_only
stop,stanica,hr,1,llm_only
area,područje,hr,1,llm_only
long,dug,hr,1,llm_only
long,dugačak,hr,0,llm_only
doctor,liječnica,hr,1,llm_only
doctor,liječnik,hr,0,llm_only
tooth,zub,hr,1,llm_only
agreement,dogovor,hr,1,llm_only
agreement,slaganje,hr,0,llm_only
hungry,gladan,hr,1,llm_only
paper,papir,hr,1,llm_only
to last,trajati,hr,1,llm_only
perfect,savršen,hr,1,llm_only
mobile phone,mobitel,hr,1,llm_only
member,član,hr,1,llm_only
member,pripadnik,hr,0,llm_only
to occupy,zauzeti,hr,1,llm_only
to occupy,zauzimati,hr,0,llm_only
opinion,mišljenje,hr,1,llm_only
eight,osam,hr,1,llm_only
to belong,pripadati,hr,1,llm_only
port,luka,hr,1,llm_only
to stand up,ustati,hr,1,llm_only
above,iznad,hr,1,llm_only
above,nad,hr,0,llm_only
travel,putovanje,hr,1,llm_only
surprise,čuđenje,hr,1,llm_only
surprise,iznenađenje,hr,0,llm_only
need,potreba,hr,1,llm_only
to refuse,odbiti,hr,1,llm_only
shoe,cipela,hr,1,llm_only
address,adresa,hr,1,llm_only
bag,torba,hr,1,llm_only
American,američki,hr,1,llm_only
American,Amerikanac,hr,0,llm_only
American,Amerikanka,hr,0,llm_only
egg,jaje,hr,1,llm_only
tired,umoran,hr,1,llm_only
to connect,povezati,hr,1,llm_only
to connect,povezivati,hr,0,llm_only
to connect,spojiti,hr,0,llm_only
forest,šuma,hr,1,llm_only
fish,riba,hr,1,llm_only
program,program,hr,1,llm_only
French,francuski,hr,1,llm_only
to congratulate,čestitati,hr,1,llm_only
vehicle,vozilo,hr,1,llm_only
rest,odmor,hr,1,llm_only
park,park,hr,1,llm_only
wine,vino,hr,1,llm_only
guest,gost,hr,1,llm_only
sky,nebo,hr,1,llm_only
tea,čaj,hr,1,llm_only
gold,zlato,hr,1,llm_only
restaurant,restoran,hr,1,llm_only
power,moć,hr,1,llm_only
store,trgovina,hr,1,llm_only
blue,plav,hr,1,llm_only
to offer,nuditi,hr,1,llm_only
to offer,ponuditi,hr,0,llm_only
female,ženski,hr,1,llm_only
whose,čiji,hr,1,llm_only
in the past,nekad,hr,1,llm_only
greeting,pozdrav,hr,1,llm_only
greeting,pozdravljanje,hr,0,llm_only
urgent,hitan,hr,1,llm_only
energy,energija,hr,1,llm_only
meter,metar,hr,1,llm_only
task,zadatak,hr,1,llm_only
train,vlak,hr,1,llm_only
to change,mijenjati,hr,1,llm_only
river,riječni,hr,1,llm_only
river,rijeka,hr,0,llm_only
village,selo,hr,1,llm_only
sea,more,hr,1,llm_only
sea,morski,hr,0,llm_only
dress,haljina,hr,1,llm_only
kitchen,kuhinja,hr,1,llm_only
show,predstava,hr,1,llm_only
queen,kraljica,hr,1,llm_only
photography,fotografija,hr,1,llm_only
wish,želja,hr,1,llm_only
reward,nagrada,hr,1,llm_only
weekend,vikend,hr,1,llm_only
uncle,stric,hr,1,llm_only
uncle,ujak,hr,0,llm_only
knife,nož,hr,1,llm_only
result,rezultat,hr,1,llm_only
fast,brz,hr,1,llm_only
satisfaction,zadovoljstvo,hr,1,llm_only
list,popis,hr,1,llm_only
different,različit,hr,1,llm_only
professor,profesor,hr,1,llm_only
professor,profesorica,hr,0,llm_only
role,uloga,hr,1,llm_only
space,prostor,hr,1,llm_only
gift,poklon,hr,1,llm_only
completely,apsolutno,hr,1,llm_only
handsome,zgodan,hr,1,llm_only
sound,zvuk,hr,1,llm_only
bird,ptica,hr,1,llm_only
usual,običan,hr,1,llm_only
island,otok,hr,1,llm_only
straight,ravno,hr,1,llm_only
trash,smeće,hr,1,llm_only
which way,kuda,hr,1,llm_only
ride,vožnja,hr,1,llm_only
proximity,blizina,hr,1,llm_only
unfortunately,nažalost,hr,1,llm_only
respect,poštovanje,hr,1,llm_only
to play an instrument,svirati,hr,1,llm_only
to prepare,pripremati,hr,1,llm_only
to prepare,pripremiti,hr,0,llm_only
to protect,zaštititi,hr,1,llm_only
speech,govor,hr,1,llm_only
meat,meso,hr,1,llm_only
to run,trčati,hr,1,llm_only
middle,srednji,hr,1,llm_only
field,polje,hr,1,llm_only
mountain,planina,hr,1,llm_only
goal,cilj,hr,1,llm_only
to make a mistake,pogriješiti,hr,1,llm_only
experience,iskustvo,hr,1,llm_only
point,točka,hr,1,llm_only
motorcycle,motor,hr,1,llm_only
in love,zaljubljen,hr,1,llm_only
card,kartica,hr,1,llm_only
to adore,obožavati,hr,1,llm_only
brothers,braća,hr,1,llm_only
age,doba,hr,1,llm_only
empty,prazan,hr,1,llm_only
mostly,uglavnom,hr,1,llm_only
responsible,odgovoran,hr,1,llm_only
tree,drvo,hr,1,llm_only
tree,stablo,hr,0,llm_only
example,primjer,hr,1,llm_only
to visit,obići,hr,1,llm_only
to visit,posjetiti,hr,0,llm_only
personal,osoban,hr,1,llm_only
match,utakmica,hr,1,llm_only
to travel,putovati,hr,1,llm_only
to sign,potpisati,hr,1,llm_only
to sign,potpisivati,hr,0,llm_only
character,lik,hr,1,llm_only
bridge,most,hr,1,llm_only
floor,kat,hr,1,llm_only
cat,mačka,hr,1,llm_only
ring,prsten,hr,1,llm_only
nice,fin,hr,1,llm_only
to surprise,iznenaditi,hr,1,llm_only
page,stranica,hr,1,llm_only
ice,led,hr,1,llm_only
computer,kompjutor,hr,1,llm_only
computer,računalo,hr,0,llm_only
automobile,automobil,hr,1,llm_only
suit,odijelo,hr,1,llm_only
fifth,peti,hr,1,llm_only
to convert,pretvoriti,hr,1,llm_only
shape,oblik,hr,1,llm_only
contract,ugovor,hr,1,llm_only
nature,priroda,hr,1,llm_only
visit,posjet,hr,1,llm_only
calm,miran,hr,1,llm_only
to repeat,ponavljati,hr,1,llm_only
to repeat,ponoviti,hr,0,llm_only
nine,devet,hr,1,llm_only
to greet,pozdraviti,hr,1,llm_only
to be late,kasniti,hr,1,llm_only
to sing,pjevati,hr,1,llm_only
victory,pobjeda,hr,1,llm_only
ball,lopta,hr,1,llm_only
journalist,novinar,hr,1,llm_only
journalist,novinarka,hr,0,llm_only
darkness,mrak,hr,1,llm_only
source,izvor,hr,1,llm_only
dish,jelo,hr,1,llm_only
to the left,lijevo,hr,1,llm_only
event,događaj,hr,1,llm_only
event,manifestacija,hr,0,llm_only
close,blizak,hr,1,llm_only
hot,vruć,hr,1,llm_only
neighbor,susjed,hr,1,llm_only
neighbor,susjeda,hr,0,llm_only
to the right,desno,hr,1,llm_only
to come up with,smisliti,hr,1,llm_only
Friday,petak,hr,1,llm_only
medical,medicinski,hr,1,llm_only
roof,krov,hr,1,llm_only
coast,obala,hr,1,llm_only
sleeping,spavanje,hr,1,llm_only
recently,nedavno,hr,1,llm_only
glass,čaša,hr,1,llm_only
green,zelen,hr,1,llm_only
research,istraživanje,hr,1,llm_only
to dream,sanjati,hr,1,llm_only
purpose,namjena,hr,1,llm_only
purpose,svrha,hr,0,llm_only
weak,slab,hr,1,llm_only
teacher,učitelj,hr,1,llm_only
teacher,učiteljica,hr,0,llm_only
rain,kiša,hr,1,llm_only
chair,stolica,hr,1,llm_only
internet,internet,hr,1,llm_only
to select,odabrati,hr,1,llm_only
to recognize,prepoznati,hr,1,llm_only
satisfied,zadovoljan,hr,1,llm_only
young man,mladić,hr,1,llm_only
breakfast,doručak,hr,1,llm_only
pants,hlače,hr,1,llm_only
coach,trener,hr,1,llm_only
coach,trenerica,hr,0,llm_only
entrance,prilaz,hr,1,llm_only
entrance,ulaz,hr,0,llm_only
colleague,kolega,hr,1,llm_only
colleague,kolegica,hr,0,llm_only
goodbye,doviđenja,hr,1,llm_only
direction,smjer,hr,1,llm_only
driver,vozač,hr,1,llm_only
driver,vozačica,hr,0,llm_only
favorite,omiljen,hr,1,llm_only
left,lijevi,hr,1,llm_only
lake,jezero,hr,1,llm_only
beach,plaža,hr,1,llm_only
laboratory,laboratorij,hr,1,llm_only
to depend,ovisiti,hr,1,llm_only
Sunday,nedjelja,hr,1,llm_only
newspaper,novine,hr,1,llm_only
