lemma,first_singular,second_singular,third_singular,first_plural,second_plural,third_plural,provenance
zvati,zovem,zoveš,zove,zovemo,zovete,zovu,wiktionary
govoriti,govorim,govoriš,govori,govorimo,govorite,govore,wiktionary
vjerovati,vjerujem,vjeruješ,vjeruje,vjerujemo,vjerujete,vjeruju,wiktionary
napraviti,napravim,napraviš,napravi,napravimo,napravite,naprave,wiktionary
uzeti,uzmem,uzmeš,uzme,uzmemo,uzmete,uzmu,wiktionary
gledati,gledam,gledaš,gleda,gledamo,gledate,gledaju,wiktionary
ostati,ostanem,ostaneš,ostane,ostanemo,ostanete,ostanu,wiktionary
značiti,značim,značiš,znači,značimo,značite,znače,wiktionary
tražiti,tražim,tražiš,traži,tražimo,tražite,traže,wiktionary
oprostiti,oprostim,oprostiš,oprosti,oprostimo,oprostite,oproste,wiktionary
dogoditi,dogodim,dogodiš,dogodi,dogodimo,dogodite,dogode,wiktionary
razgovarati,razgovaram,razgovaraš,razgovara,razgovaramo,razgovarate,razgovaraju,wiktionary
pitati,pitam,pitaš,pita,pitamo,pitate,pitaju,wiktionary
pogledati,pogledam,pogledaš,pogleda,pogledamo,pogledate,pogledaju,wiktionary
živjeti,živim,živiš,živi,živimo,živite,žive,wiktionary
slušati,slušam,slušaš,sluša,slušamo,slušate,slušaju,wiktionary
pričati,pričam,pričaš,priča,pričamo,pričate,pričaju,wiktionary
postojati,postojim,postojiš,postoji,postojimo,postojite,postoje,wiktionary
pustiti,pustim,pustiš,pusti,pustimo,pustite,puste,wiktionary
ostaviti,ostavim,ostaviš,ostavi,ostavimo,ostavite,ostave,wiktionary
dolaziti,dolazim,dolaziš,dolazi,dolazimo,dolazite,dolaze,wiktionary
činiti,činim,činiš,čini,činimo,činite,čine,wiktionary
početi,počnem,počneš,počne,počnemo,počnete,počnu,wiktionary
umrijeti,umrem,umreš,umre,umremo,umrete,umru,wiktionary
razumjeti,razumijem,razumiješ,razumije,razumijemo,razumijete,razumiju,wiktionary
pronaći,pronađem,pronađeš,pronađe,pronađemo,pronađete,pronađu,wiktionary
držati,držim,držiš,drži,držimo,držite,drže,wiktionary
osjećati,osjećam,osjećaš,osjeća,osjećamo,osjećate,osjećaju,wiktionary
uraditi,uradim,uradiš,uradi,uradimo,uradite,urade,wiktionary
brinuti,brinem,brineš,brine,brinemo,brinete,brinu,wiktionary
završiti,završim,završiš,završi,završimo,završite,završe,wiktionary
izgubiti,izgubim,izgubiš,izgubi,izgubimo,izgubite,izgube,wiktionary
prestati,prestanem,prestaneš,prestane,prestanemo,prestanete,prestanu,wiktionary
stati,stanem,staneš,stane,stanemo,stanete,stanu,wiktionary
nadati,nadam,nadaš,nada,nadamo,nadate,nadaju,wiktionary
pokušati,pokušam,pokušaš,pokuša,pokušamo,pokušate,pokušaju,wiktionary
nazvati,nazovem,nazoveš,nazove,nazovemo,nazovete,nazovu,wiktionary
pokušavati,pokušavam,pokušavaš,pokušava,pokušavamo,pokušavate,pokušavaju,wiktionary
zaboraviti,zaboravim,zaboraviš,zaboravi,zaboravimo,zaboravite,zaborave,wiktionary
staviti,stavim,staviš,stavi,stavimo,stavite,stave,wiktionary
poslati,pošaljem,pošalješ,pošalje,pošaljemo,pošaljete,pošalju,wiktionary
ući,uđem,uđeš,uđe,uđemo,uđete,uđu,wiktionary
događati,događam,događaš,događa,događamo,događate,događaju,wiktionary
sviđati,sviđam,sviđaš,sviđa,sviđamo,sviđate,sviđaju,wiktionary
proći,prođem,prođeš,prođe,prođemo,prođete,prođu,wiktionary
postati,postanem,postaneš,postane,postanemo,postanete,postanu,wiktionary
sjećati,sjećam,sjećaš,sjeća,sjećamo,sjećate,sjećaju,wiktionary
otvoriti,otvorim,otvoriš,otvori,otvorimo,otvorite,otvore,wiktionary
nositi,nosim,nosiš,nosi,nosimo,nosite,nose,wiktionary
koristiti,koristim,koristiš,koristi,koristimo,koristite,koriste,wiktionary
smjeti,smijem,smiješ,smije,smijemo,smijete,smiju,wiktionary
upoznati,upoznam,upoznaš,upozna,upoznamo,upoznate,upoznaju,wiktionary
voditi,vodim,vodiš,vodi,vodimo,vodite,vode,wiktionary
pokazati,pokažem,pokažeš,pokaže,pokažemo,pokažete,pokažu,wiktionary
izaći,izađem,izađeš,izađe,izađemo,izađete,izađu,wiktionary
shvatiti,shvatim,shvatiš,shvati,shvatimo,shvatite,shvate,wiktionary
uspjeti,uspijem,uspiješ,uspije,uspijemo,uspijete,uspiju,wiktionary
bojati,bojim,bojiš,boji,bojimo,bojite,boje,wiktionary
donijeti,donesem,doneseš,donese,donesemo,donesete,donesu,wiktionary
stići,stignem,stigneš,stigne,stignemo,stignete,stignu,manual
spavati,spavam,spavaš,spava,spavamo,spavate,spavaju,wiktionary
buditi,budim,budiš,budi,budimo,budite,bude,wiktionary
poznavati,poznajem,poznaješ,poznaje,poznajemo,poznajete,poznaju,wiktionary
saznati,saznam,saznaš,sazna,saznamo,saznate,saznaju,wiktionary
nastaviti,nastavim,nastaviš,nastavi,nastavimo,nastavite,nastave,wiktionary
kupiti,kupim,kupiš,kupi,kupimo,kupite,kupe,wiktionary
pozvati,pozovem,pozoveš,pozove,pozovemo,pozovete,pozovu,wiktionary
igrati,igram,igraš,igra,igramo,igrate,igraju,wiktionary
krenuti,krenem,kreneš,krene,krenemo,krenete,krenu,wiktionary
jesti,jedem,jedeš,jede,jedemo,jedete,jedu,wiktionary
spasiti,spasim,spasiš,spasi,spasimo,spasite,spase,wiktionary
odvesti,odvedem,odvedeš,odvede,odvedemo,odvedete,odvedu,wiktionary
nestati,nestanem,nestaneš,nestane,nestanemo,nestanete,nestanu,wiktionary
platiti,platim,platiš,plati,platimo,platite,plate,wiktionary
provjeriti,provjerim,provjeriš,provjeri,provjerimo,provjerite,provjere,wiktionary
uhvatiti,uhvatim,uhvatiš,uhvati,uhvatimo,uhvatite,uhvate,wiktionary
dovesti,dovezem,dovezeš,doveze,dovezemo,dovezete,dovezu,wiktionary
lagati,lažem,lažeš,laže,lažemo,lažete,lažu,wiktionary
paziti,pazim,paziš,pazi,pazimo,pazite,paze,wiktionary
javiti,javim,javiš,javi,javimo,javite,jave,wiktionary
mrziti,mrzim,mrziš,mrzi,mrzimo,mrzite,mrze,wiktionary
dopustiti,dopustim,dopustiš,dopusti,dopustimo,dopustite,dopuste,wiktionary
srediti,sredim,središ,sredi,sredimo,sredite,srede,wiktionary
pratiti,pratim,pratiš,prati,pratimo,pratite,prate,wiktionary
odlaziti,odlazim,odlaziš,odlazi,odlazimo,odlazite,odlaze,wiktionary
boriti,borim,boriš,bori,borimo,borite,bore,wiktionary
stajati,stojim,stojiš,stoji,stojimo,stojite,stoje,manual
naučiti,naučim,naučiš,nauči,naučimo,naučite,nauče,wiktionary
pisati,pišem,pišeš,piše,pišemo,pišete,pišu,wiktionary
voziti,vozim,voziš,vozi,vozimo,vozite,voze,wiktionary
pasti,padnem,padneš,padne,padnemo,padnete,padnu,wiktionary
zaustaviti,zaustavim,zaustaviš,zaustavi,zaustavimo,zaustavite,zaustave,wiktionary
jebati,jebem,jebeš,jebe,jebemo,jebete,jebu,wiktionary
razmišljati,razmišljam,razmišljaš,razmišlja,razmišljamo,razmišljate,razmišljaju,wiktionary
vraćati,vraćam,vraćaš,vraća,vraćamo,vraćate,vraćaju,wiktionary
promijeniti,promijenim,promijeniš,promijeni,promijenimo,promijenite,promijene,wiktionary
očekivati,očekujem,očekuješ,očekuje,očekujemo,očekujete,očekuju,wiktionary
shvaćati,shvaćam,shvaćaš,shvaća,shvaćamo,shvaćate,shvaćaju,wiktionary
sjediti,sjedim,sjediš,sjedi,sjedimo,sjedite,sjede,wiktionary
otkriti,otkrijem,otkriješ,otkrije,otkrijemo,otkrijete,otkriju,wiktionary
odlučiti,odlučim,odlučiš,odluči,odlučimo,odlučite,odluče,wiktionary
izvući,izvučem,izvučeš,izvuče,izvučemo,izvučete,izvuku,wiktionary
baciti,bacim,baciš,baci,bacimo,bacite,bace,wiktionary
uništiti,uništim,uništiš,uništi,uništimo,uništite,unište,wiktionary
pobjeći,pobjegnem,pobjegneš,pobjegne,pobjegnemo,pobjegnete,pobjegnu,wiktionary
zvučiti,zvučim,zvučiš,zvuči,zvučimo,zvučite,zvuče,manual
riješiti,riješim,riješiš,riješi,riješimo,riješite,riješe,wiktionary
izlaziti,izlazim,izlaziš,izlazi,izlazimo,izlazite,izlaze,wiktionary
pucati,pucam,pucaš,puca,pucamo,pucate,pucaju,wiktionary
davati,dajem,daješ,daje,dajemo,dajete,daju,wiktionary
nedostajati,nedostajem,nedostaješ,nedostaje,nedostajemo,nedostajete,nedostaju,wiktionary
zatvoriti,zatvorim,zatvoriš,zatvori,zatvorimo,zatvorite,zatvore,wiktionary
pretpostavljati,pretpostavljam,pretpostavljaš,pretpostavlja,pretpostavljamo,pretpostavljate,pretpostavljaju,wiktionary
sjesti,sjednem,sjedneš,sjedne,sjednemo,sjednete,sjednu,wiktionary
čuvati,čuvam,čuvaš,čuva,čuvamo,čuvate,čuvaju,wiktionary
zanimati,zanimam,zanimaš,zanima,zanimamo,zanimate,zanimaju,wiktionary
piti,pijem,piješ,pije,pijemo,pijete,piju,wiktionary
slagati,slažem,slažeš,slaže,slažemo,slažete,slažu,wiktionary
zadržati,zadržim,zadržiš,zadrži,zadržimo,zadržite,zadrže,wiktionary
poći,pođem,pođeš,pođe,pođemo,pođete,pođu,wiktionary
smiriti,smirim,smiriš,smiri,smirimo,smirite,smire,wiktionary
izviniti,izvinim,izviniš,izvini,izvinimo,izvinite,izvine,manual
pomisliti,pomislim,pomisliš,pomisli,pomislimo,pomislite,pomisle,wiktionary
desiti,desim,desiš,desi,desimo,desite,dese,wiktionary
gubiti,gubim,gubiš,gubi,gubimo,gubite,gube,wiktionary
pogoditi,pogodim,pogodiš,pogodi,pogodimo,pogodite,pogode,wiktionary
boljeti,bolim,boliš,boli,bolimo,bolite,bole,wiktionary
ukrasti,ukradem,ukradeš,ukrade,ukrademo,ukradete,ukradu,wiktionary
napisati,napišem,napišeš,napiše,napišemo,napišete,napišu,wiktionary
probuditi,probudim,probudiš,probudi,probudimo,probudite,probude,wiktionary
napustiti,napustim,napustiš,napusti,napustimo,napustite,napuste,wiktionary
objasniti,objasnim,objasniš,objasni,objasnimo,objasnite,objasne,wiktionary
ispričati,ispričam,ispričaš,ispriča,ispričamo,ispričate,ispričaju,wiktionary
počinjati,počinjem,počinješ,počinje,počinjemo,počinjete,počinju,wiktionary
šaliti,šalim,šališ,šali,šalimo,šalite,šale,wiktionary
izvoljeti,izvolim,izvoliš,izvoli,izvolimo,izvolite,izvole,manual
smetati,smetam,smetaš,smeta,smetamo,smetate,smetaju,wiktionary
probati,probam,probaš,proba,probamo,probate,probaju,wiktionary
provesti,provedem,provedeš,provede,provedemo,provedete,provedu,wiktionary
pomagati,pomažem,pomažeš,pomaže,pomažemo,pomažete,pomažu,wiktionary
razmisliti,razmislim/razmišljam,razmisliš/razmišljaš,razmisli/razmišlja,razmislimo/razmišljamo,razmislite/razmišljate,razmisle/razmišljaju,wiktionary
čitati,čitam,čitaš,čita,čitamo,čitate,čitaju,wiktionary
uživati,uživam,uživaš,uživa,uživamo,uživate,uživaju,wiktionary
pojaviti,pojavim,pojaviš,pojavi,pojavimo,pojavite,pojave,wiktionary
udariti,udarim,udariš,udari,udarimo,udarite,udare,wiktionary
pobijediti,pobijedim,pobijediš,pobijedi,pobijedimo,pobijedite,pobijede,wiktionary
pobrinuti,pobrinem,pobrineš,pobrine,pobrinemo,pobrinete,pobrinu,manual
prekinuti,prekinem,prekineš,prekine,prekinemo,prekinete,prekinu,wiktionary
sjetiti,sjetim,sjetiš,sjeti,sjetimo,sjetite,sjete,wiktionary
zamisliti,zamislim,zamisliš,zamisli,zamislimo,zamislite,zamisle,wiktionary
uzimati,uzimam,uzimaš,uzima,uzimamo,uzimate,uzimaju,wiktionary
primiti,primim,primiš,primi,primimo,primite,prime,wiktionary
bježati,bježim,bježiš,bježi,bježimo,bježite,bježe,wiktionary
požuriti,požurim,požuriš,požuri,požurimo,požurite,požure,manual
kretati,krećem,krećeš,kreće,krećemo,krećete,kreću,wiktionary
priznati,priznam,priznaš,prizna,priznamo,priznate,priznaju,wiktionary
obećati,obećam,obećaš,obeća,obećamo,obećate,obećaju,wiktionary
spustiti,spustim,spustiš,spusti,spustimo,spustite,spuste,wiktionary
slijediti,slijedim,slijediš,slijedi,slijedimo,slijedite,slijede,wiktionary
smatrati,smatram,smatraš,smatra,smatramo,smatrate,smatraju,wiktionary
pričekati,pričekam,pričekaš,pričeka,pričekamo,pričekate,pričekaju,wiktionary
okrenuti,okrenem,okreneš,okrene,okrenemo,okrenete,okrenu,wiktionary
maknuti,maknem,makneš,makne,maknemo,maknete,maknu,wiktionary
ulaziti,ulazim,ulaziš,ulazi,ulazimo,ulazite,ulaze,wiktionary
obaviti,obavim,obaviš,obavi,obavimo,obavite,obave,wiktionary
napasti,napadnem,napadneš,napadne,napadnemo,napadnete,napadnu,wiktionary
nalaziti,nalazim,nalaziš,nalazi,nalazimo,nalazite,nalaze,wiktionary
skinuti,skinem,skineš,skine,skinemo,skinete,skinu,wiktionary
micati,mičem,mičeš,miče,mičemo,mičete,miču,wiktionary
pročitati,pročitam,pročitaš,pročita,pročitamo,pročitate,pročitaju,wiktionary
učiti,učim,učiš,uči,učimo,učite,uče,wiktionary
preživjeti,preživim,preživiš,preživi,preživimo,preživite,prežive,wiktionary
ostajati,ostajem,ostaješ,ostaje,ostajemo,ostajete,ostaju,wiktionary
ispričavati,ispričavam,ispričavaš,ispričava,ispričavamo,ispričavate,ispričavaju,wiktionary
kladiti,kladim,kladiš,kladi,kladimo,kladite,klade,wiktionary
umirati,umirem,umireš,umire,umiremo,umirete,umiru,wiktionary
prodati,prodam,prodaš,proda,prodamo,prodate,prodaju,wiktionary
postaviti,postavim,postaviš,postavi,postavimo,postavite,postave,wiktionary
hodati,hodam,hodaš,hoda,hodamo,hodate,hodaju,wiktionary
ubijati,ubijam,ubijaš,ubija,ubijamo,ubijate,ubijaju,wiktionary
osjetiti,osjetim,osjetiš,osjeti,osjetimo,osjetite,osjete,wiktionary
prihvatiti,prihvatim,prihvatiš,prihvati,prihvatimo,prihvatite,prihvate,wiktionary
povrijediti,povrijedim,povrijediš,povrijedi,povrijedimo,povrijedite,povrijede,wiktionary
popiti,popijem,popiješ,popije,popijemo,popijete,popiju,wiktionary
izabrati,izaberem,izabereš,izabere,izaberemo,izaberete,izaberu,wiktionary
stizati,stižem,stižeš,stiže,stižemo,stižete,stižu,wiktionary
pojesti,pojedem,pojedeš,pojede,pojedemo,pojedete,pojedu,wiktionary
pokupiti,pokupim,pokupiš,pokupi,pokupimo,pokupite,pokupe,wiktionary
dozvoliti,dozvolim,dozvoliš,dozvoli,dozvolimo,dozvolite,dozvole,wiktionary
planirati,planiram,planiraš,planira,planiramo,planirate,planiraju,wiktionary
odgovarati,odgovaram,odgovaraš,odgovara,odgovaramo,odgovarate,odgovaraju,wiktionary
plakati,plačem,plačeš,plače,plačemo,plačete,plaču,wiktionary
ponašati,ponašam,ponašaš,ponaša,ponašamo,ponašate,ponašaju,wiktionary
postajati,postojim,postojiš,postoji,postojimo,postojite,postoje,wiktionary
svidjeti,svidim,svidiš,svidi,svidimo,svidite,svide,wiktionary
ticati,tičem,tičeš,tiče,tičemo,tičete,tiču,wiktionary
kleti,kunem,kuneš,kune,kunemo,kunete,kunu,wiktionary
odgovoriti,odgovorim,odgovoriš,odgovori,odgovorimo,odgovorite,odgovore,wiktionary
iskoristiti,iskoristim,iskoristiš,iskoristi,iskoristimo,iskoristite,iskoriste,wiktionary
predati,predam,predaš,preda,predamo,predate,predaju,wiktionary
sresti,sretnem,sretneš,sretne,sretnemo,sretnete,sretnu,wiktionary
vrijediti,vrijedim,vrijediš,vrijedi,vrijedimo,vrijedite,vrijede,wiktionary
slomiti,slomim,slomiš,slomi,slomimo,slomite,slome,wiktionary
dokazati,dokažem,dokažeš,dokaže,dokažemo,dokažete,dokažu,wiktionary
kreniti,krenem,kreneš,krene,krenemo,krenete,krenu,manual
sumnjati,sumnjam,sumnjaš,sumnja,sumnjamo,sumnjate,sumnjaju,wiktionary
trajati,trajem,traješ,traje,trajemo,trajete,traju,wiktionary
slati,šljem,šlješ,šlje,šljemo,šljete,šlju,wiktionary
stvoriti,stvorim,stvoriš,stvori,stvorimo,stvorite,stvore,wiktionary
povući,povučem,povučeš,povuče,povučemo,povučete,povuku,wiktionary
dugovati,dugujem,duguješ,duguje,dugujemo,dugujete,duguju,wiktionary
izbaciti,izbacim,izbaciš,izbaci,izbacimo,izbacite,izbace,wiktionary
propustiti,propustim,propustiš,propusti,propustimo,propustite,propuste,wiktionary
pripadati,pripadam,pripadaš,pripada,pripadamo,pripadate,pripadaju,wiktionary
ustati,ustanem,ustaneš,ustane,ustanemo,ustanete,ustanu,wiktionary
odbiti,odbijem,odbiješ,odbije,odbijemo,odbijete,odbiju,wiktionary
uvjeriti,uvjerim,uvjeriš,uvjeri,uvjerimo,uvjerite,uvjere,wiktionary
popraviti,popravim,popraviš,popravi,popravimo,popravite,poprave,wiktionary
udati,udam,udaš,uda,udamo,udate,udaju,wiktionary
baviti,bavim,baviš,bavi,bavimo,bavite,bave,wiktionary
ispasti,ispadnem,ispadneš,ispadne,ispadnemo,ispadnete,ispadnu,wiktionary
nabaviti,nabavim,nabaviš,nabavi,nabavimo,nabavite,nabave,wiktionary
zasluživati,zaslužujem,zaslužuješ,zaslužuje,zaslužujemo,zaslužujete,zaslužuju,wiktionary
preuzeti,preuzmem,preuzmeš,preuzme,preuzmemo,preuzmete,preuzmu,wiktionary
čestitati,čestitam,čestitaš,čestita,čestitamo,čestitate,čestitaju,wiktionary
opustiti,opustim,opustiš,opusti,opustimo,opustite,opuste,wiktionary
pridružiti,pridružim,pridružiš,pridruži,pridružimo,pridružite,pridruže,wiktionary
dešavati,dešavam,dešavaš,dešava,dešavamo,dešavate,dešavaju,wiktionary
spomenuti,spomenem,spomeneš,spomene,spomenemo,spomenete,spomenu,wiktionary
obećavati,obećavam,obećavaš,obećava,obećavamo,obećavate,obećavaju,wiktionary
dirati,diram,diraš,dira,diramo,dirate,diraju,wiktionary
prodavati,prodajem,prodaješ,prodaje,prodajemo,prodajete,prodaju,wiktionary
prijaviti,prijavim,prijaviš,prijavi,prijavimo,prijavite,prijave,wiktionary
ponuditi,ponudim,ponudiš,ponudi,ponudimo,ponudite,ponude,wiktionary
osloboditi,oslobodim,oslobodiš,oslobodi,oslobodimo,oslobodite,oslobode,wiktionary
verovati,verujem,veruješ,veruje,verujemo,verujete,veruju,wiktionary
primijetiti,primijetim,primijetiš,primijeti,primijetimo,primijetite,primijete,wiktionary
mijenjati,mijenjam,mijenjaš,mijenja,mijenjamo,mijenjate,mijenjaju,wiktionary
padati,padam,padaš,pada,padamo,padate,padaju,wiktionary
dobivati,dobivam,dobivaš,dobiva,dobivamo,dobivate,dobivaju,wiktionary
plašiti,plašim,plašiš,plaši,plašimo,plašite,plaše,wiktionary
odustati,odustanem,odustaneš,odustane,odustanemo,odustanete,odustanu,wiktionary
zapamtiti,zapamtim,zapamtiš,zapamti,zapamtimo,zapamtite,zapamte,wiktionary
prijeći,prijeđem,prijeđeš,prijeđe,prijeđemo,prijeđete,prijeđu,wiktionary
oteti,otmem,otmeš,otme,otmemo,otmete,otmu,wiktionary
služiti,služim,služiš,služi,služimo,služite,služe,wiktionary
svirati,sviram,sviraš,svira,sviramo,svirate,sviraju,wiktionary
pripremiti,pripremim,pripremiš,pripremi,pripremimo,pripremite,pripreme,wiktionary
zaštititi,zaštitim,zaštitiš,zaštiti,zaštitimo,zaštitite,zaštite,wiktionary
djelovati,djelujem,djeluješ,djeluje,djelujemo,djelujete,djeluju,wiktionary
suditi,sudim,sudiš,sudi,sudimo,sudite,sude,wiktionary
popričati,popričam,popričaš,popriča,popričamo,popričate,popričaju,wiktionary
disati,dišem,dišeš,diše,dišemo,dišete,dišu,wiktionary
pokazivati,pokazujem,pokazuješ,pokazuje,pokazujemo,pokazujete,pokazuju,wiktionary
praviti,pravim,praviš,pravi,pravimo,pravite,prave,wiktionary
trčati,trčim,trčiš,trči,trčimo,trčite,trče,wiktionary
poljubiti,poljubim,poljubiš,poljubi,poljubimo,poljubite,poljube,wiktionary
prolaziti,prolazim,prolaziš,prolazi,prolazimo,prolazite,prolaze,wiktionary
zamoliti,zamolim,zamoliš,zamoli,zamolimo,zamolite,zamole,manual
pogriješiti,pogriješim,pogriješiš,pogriješi,pogriješimo,pogriješite,pogriješe,wiktionary
upasti,"upadnem, upanem","upadneš, upaneš","upadne, upane","upadnemo, upanemo","upadnete, upanete","upadnu, upanu",wiktionary
ostavljati,ostavljam,ostavljaš,ostavlja,ostavljamo,ostavljate,ostavljaju,wiktionary
obožavati,obožavam,obožavaš,obožava,obožavamo,obožavate,obožavaju,wiktionary
zeljeti,želim,želiš,želi,želimo,želite,žele,manual
posjetiti,posjetim,posjetiš,posjeti,posjetimo,posjetite,posjete,wiktionary
putovati,putujem,putuješ,putuje,putujemo,putujete,putuju,wiktionary
plaćati,plaćam,plaćaš,plaća,plaćamo,plaćate,plaćaju,wiktionary
potpisati,potpišem,potpišeš,potpiše,potpišemo,potpišete,potpišu,wiktionary
cijeniti,cijenim,cijeniš,cijeni,cijenimo,cijenite,cijene,wiktionary
poslušati,poslušam,poslušaš,posluša,poslušamo,poslušate,poslušaju,wiktionary
podnijeti,podnesem,podneseš,podnese,podnesemo,podnesete,podnesu,wiktionary
natjerati,natjeram,natjeraš,natjera,natjeramo,natjerate,natjeraju,wiktionary
upucati,upucam,upucaš,upuca,upucamo,upucate,upucaju,manual
žaliti,žalim,žališ,žali,žalimo,žalite,žale,wiktionary
poludjeti,poludim,poludiš,poludi,poludimo,poludite,polude,wiktionary
isključiti,isključim,isključiš,isključi,isključimo,isključite,isključe,wiktionary
sačekati,sačekam,sačekaš,sačeka,sačekamo,sačekate,sačekaju,wiktionary
pretvoriti,pretvorim,pretvoriš,pretvori,pretvorimo,pretvorite,pretvore,wiktionary
sakriti,skrijem,skriješ,skrije,skrijemo,skrijete,skriju,wiktionary
poginuti,poginem,pogineš,pogine,poginemo,poginete,poginu,wiktionary
ponoviti,ponovim,ponoviš,ponovi,ponovimo,ponovite,ponove,wiktionary
započeti,započnem,započneš,započne,započnemo,započnete,započnu,wiktionary
pozdraviti,pozdravim,pozdraviš,pozdravi,pozdravimo,pozdravite,pozdrave,wiktionary
uciniti,učinim,učiniš,učini,učinimo,učinite,učine,manual
tvrditi,tvrdim,tvrdiš,tvrdi,tvrdimo,tvrdite,tvrde,wiktionary
začepiti,začepim,začepiš,začepi,začepimo,začepite,začepe,manual
kasniti,kasnim,kasniš,kasni,kasnimo,kasnite,kasne,wiktionary
pjevati,pjevam,pjevaš,pjeva,pjevamo,pjevate,pjevaju,wiktionary
pristati,pristanem,pristaneš,pristane,pristanemo,pristanete,pristanu,wiktionary
skrivati,skrivam,skrivaš,skriva,skrivamo,skrivate,skrivaju,wiktionary
zahvaliti,zahvalim,zahvališ,zahvali,zahvalimo,zahvalite,zahvale,wiktionary
viđati,viđam,viđaš,viđa,viđamo,viđate,viđaju,wiktionary
donositi,donosim,donosiš,donosi,donosimo,donosite,donose,wiktionary
izdati,izdam,izdaš,izda,izdamo,izdate,izdaju,wiktionary
mučiti,mučim,mučiš,muči,mučimo,mučite,muče,wiktionary
pozivati,pozivljem,pozivlješ,pozivlje,pozivljemo,pozivljete,pozivlju,wiktionary
truditi,trudim,trudiš,trudi,trudimo,trudite,trude,wiktionary
smisliti,smislim,smisliš,smisli,smislimo,smislite,smisle,wiktionary
važiti,važim,važiš,važi,važimo,važite,važe,wiktionary
sanjati,sanjam,sanjaš,sanja,sanjamo,sanjate,sanjaju,wiktionary
predstavljati,predstavljam,predstavljaš,predstavlja,predstavljamo,predstavljate,predstavljaju,wiktionary
povesti,povedem,povedeš,povede,povedemo,povedete,povedu,wiktionary
rasti,rastem,rasteš,raste,rastemo,rastete,rastu,wiktionary
ozlijediti,ozlijedim,ozlijediš,ozlijedi,ozlijedimo,ozlijedite,ozlijede,wiktionary
šutiti,šutim,šutiš,šuti,šutimo,šutite,šute,manual
odabrati,odaberem,odabereš,odabere,odaberemo,odaberete,odaberu,wiktionary
prepoznati,prepoznam,prepoznaš,prepozna,prepoznamo,prepoznate,prepoznaju,wiktionary
namjeravati,namjeravam,namjeravaš,namjerava,namjeravamo,namjeravate,namjeravaju,wiktionary
pokrenuti,pokrenem,pokreneš,pokrene,pokrenemo,pokrenete,pokrenu,wiktionary
zvučati,zvučim,zvučiš,zvuči,zvučimo,zvučite,zvuče,manual
družiti,družim,družiš,druži,družimo,družite,druže,wiktionary
spominjati,spominjem,spominješ,spominje,spominjemo,spominjete,spominju,wiktionary
zaslužiti,zaslužim,zaslužiš,zasluži,zaslužimo,zaslužite,zasluže,wiktionary
ovisiti,ovisim,ovisiš,ovisi,ovisimo,ovisite,ovise,wiktionary
kužiti,kužim,kužiš,kuži,kužimo,kužite,kuže,wiktionary
štititi,štitim,štitiš,štiti,štitimo,štitite,štite,wiktionary
dijeliti,dijelim,dijeliš,dijeli,dijelimo,dijelite,dijele,wiktionary
pušiti,pušim,pušiš,puši,pušimo,pušite,puše,wiktionary
izvesti,izvedem,izvedeš,izvede,izvedemo,izvedete,izvedu,wiktionary
spremiti,spremim,spremiš,spremi,spremimo,spremite,spreme,wiktionary
dodati,dodam,dodaš,doda,dodamo,dodate,dodaju,wiktionary
mamiti,mamim,mamiš,mami,mamimo,mamite,mame,wiktionary
poštovati,poštujem,poštuješ,poštuje,poštujemo,poštujete,poštuju,wiktionary
plesati,plešem,plešeš,pleše,plešemo,plešete,plešu,wiktionary
