lemma,frequency_rank,frequency_set,part_of_speech,is_function_word,first_letter_unit,last_letter_unit,is_dead_end
ili,64,1,CCONJ,1,i,i,0
dati,65,1,VERB,0,d,i,0
možda,66,1,ADV,0,m,a,0
gdje,67,1,ADV,0,g,e,0
sada,68,1,ADV,0,s,a,0
malo,69,1,ADV,0,m,o,0
onda,70,1,ADV,0,o,a,0
neki,71,1,DET,0,n,i,0
drugi,72,1,ADJ,0,d,i,0
dan,73,1,NOUN,0,d,n,0
stvar,74,1,NOUN,0,s,r,0
vrijeme,75,1,NOUN,0,v,e,0
ništa,76,1,PRON,0,n,a,0
kazati,77,1,VERB,0,k,i,0
do,78,1,ADP,0,d,o,0
voljeti,79,1,VERB,0,v,i,0
zar,80,1,PART,1,z,r,0
naš,81,1,DET,0,n,š,0
vaš,82,1,DET,0,v,š,0
moliti,83,1,VERB,0,m,i,0
učiniti,84,1,VERB,0,u,i,0
kada,85,1,ADV,0,k,a,0
godina,86,1,NOUN,0,g,a,0
ubiti,87,1,VERB,0,u,i,0
put,88,1,NOUN,0,p,t,0
jer,89,1,SCONJ,1,j,r,0
otići,90,1,VERB,0,o,i,0
posao,91,1,NOUN,0,p,o,0
prije,92,1,ADV,0,p,e,0
hej,93,1,INTJ,0,h,j,0
čuti,94,1,VERB,0,č,i,0
sad,95,1,ADV,0,s,d,0
tu,96,1,ADV,0,t,u,0
vratiti,97,1,VERB,0,v,i,0
njegov,98,1,DET,0,nj,v,0
zbog,99,1,ADP,0,z,g,0
ni,100,1,PART,1,n,i,0
tamo,101,2,ADV,0,t,o,0
kuća,102,2,NOUN,0,k,a,0
život,103,2,NOUN,0,ž,t,0
bog,104,2,NOUN,0,b,g,0
naći,105,2,VERB,0,n,i,0
dobiti,106,2,VERB,0,d,i,0
velik,107,2,ADJ,0,v,k,0
čekati,108,2,VERB,0,č,i,0
izgledati,109,2,VERB,0,i,i,0
uvijek,110,2,ADV,0,u,k,0
žena,111,2,NOUN,0,ž,a,0
prvi,112,2,ADJ,0,p,i,0
netko,113,2,PRON,0,n,o,0
stvarno,114,2,ADV,0,s,o,0
pomoći,115,2,VERB,0,p,i,0
hajde,116,2,INTJ,0,h,e,0
zvati,117,2,VERB,0,z,i,0
po,118,2,ADP,0,p,o,0
govoriti,119,2,VERB,0,g,i,0
koliko,120,2,ADV,0,k,o,0
vjerovati,121,2,VERB,0,v,i,0
već,122,2,ADV,0,v,ć,0
dva,123,2,NUM,0,d,a,0
napraviti,124,2,VERB,0,n,i,0
zato,125,2,ADV,0,z,o,0
baš,126,2,PART,1,b,š,0
nego,127,2,CCONJ,1,n,o,0
bez,128,2,ADP,0,b,z,0
oh,129,2,INTJ,0,o,h,0
gospodin,130,2,NOUN,0,g,n,0
pravo,131,2,NOUN,0,p,o,0
prijatelj,132,2,NOUN,0,p,lj,0
dok,133,2,SCONJ,1,d,k,0
svaki,134,2,DET,0,s,i,0
dijete,135,2,NOUN,0,d,e,0
uzeti,136,2,VERB,0,u,i,0
joj,137,2,INTJ,0,j,j,0
gledati,138,2,VERB,0,g,i,0
ostati,139,2,VERB,0,o,i,0
značiti,140,2,VERB,0,z,i,0
žao,141,2,ADV,0,ž,o,0
naravno,142,2,ADV,0,n,o,0
otac,143,2,NOUN,0,o,c,0
onaj,144,2,DET,0,o,j,0
tražiti,145,2,VERB,0,t,i,0
oprostiti,146,2,VERB,0,o,i,0
mjesto,147,2,NOUN,0,m,o,0
kakav,148,2,DET,0,k,v,0
dogoditi,149,2,VERB,0,d,i,0
nov,150,2,ADJ,0,n,v,0
oko,151,2,ADV,0,o,o,0
razgovarati,152,2,VERB,0,r,i,0
pitati,153,2,VERB,0,p,i,0
mama,154,2,NOUN,0,m,a,0
nitko,155,2,PRON,0,n,o,0
nikad,156,2,ADV,0,n,d,0
siguran,157,2,ADJ,0,s,n,0
mali,158,2,ADJ,0,m,i,0
pogledati,159,2,VERB,0,p,i,0
tata,160,2,NOUN,0,t,a,0
problem,161,2,NOUN,0,p,m,0
ime,162,2,NOUN,0,i,e,0
novac,163,2,NOUN,0,n,c,0
živjeti,164,2,VERB,0,ž,i,0
puno,165,2,ADV,0,p,o,0
ok,166,2,ADV,0,o,k,0
slušati,167,2,VERB,0,s,i,0
kod,168,2,ADP,0,k,d,0
sat,169,2,NOUN,0,s,t,0
pričati,170,2,VERB,0,p,i,0
star,171,2,ADJ,0,s,r,0
postojati,172,2,VERB,0,p,i,0
ruka,173,2,NOUN,0,r,a,0
cijel,174,2,ADJ,0,c,l,0
pustiti,175,2,VERB,0,p,i,0
jako,176,2,ADV,0,j,o,0
ostaviti,177,2,VERB,0,o,i,0
veza,178,2,NOUN,0,v,a,0
dolaziti,179,2,VERB,0,d,i,0
činiti,180,2,VERB,0,č,i,0
početi,181,2,VERB,0,p,i,0
umrijeti,182,2,VERB,0,u,i,0
razumjeti,183,2,VERB,0,r,i,0
pronaći,184,2,VERB,0,p,i,0
držati,185,2,VERB,0,d,i,0
sin,186,2,NOUN,0,s,n,0
mrtav,187,2,ADJ,0,m,v,0
nikada,188,2,ADV,0,n,a,0
danas,189,2,ADV,0,d,s,0
noć,190,2,NOUN,0,n,ć,0
daleko,191,2,ADV,0,d,o,0
majka,192,2,NOUN,0,m,a,0
neka,193,2,PART,1,n,a,0
opet,194,2,ADV,0,o,t,0
vrlo,195,2,ADV,0,v,o,0
osjećati,196,2,VERB,0,o,i,0
upravo,197,2,ADV,0,u,o,0
sigurno,198,2,ADV,0,s,o,0
nakon,199,2,ADV,0,n,n,0
odmah,200,2,ADV,0,o,h,0
tri,201,3,NUM,0,t,i,0
uraditi,202,3,VERB,0,u,i,0
evo,203,3,PART,1,e,o,0
svijet,204,3,NOUN,0,s,t,0
duša,205,3,X,0,d,a,0
brinuti,206,3,VERB,0,b,i,0
spreman,207,3,ADJ,0,s,n,0
završiti,208,3,VERB,0,z,i,0
pitanje,209,3,NOUN,0,p,e,0
izgubiti,210,3,VERB,0,i,i,0
istina,211,3,NOUN,0,i,a,0
takav,212,3,DET,0,t,v,0
zdravo,213,3,ADV,0,z,o,0
prestati,214,3,VERB,0,p,i,0
tip,215,3,NOUN,0,t,p,0
slučaj,216,3,NOUN,0,s,j,0
način,217,3,NOUN,0,n,n,0
no,218,3,CCONJ,1,n,o,0
dečko,219,3,NOUN,0,d,o,0
čak,220,3,PART,1,č,k,0
toliko,221,3,ADV,0,t,o,0
sranje,222,3,NOUN,0,s,e,0
stati,223,3,VERB,0,s,i,0
bok,224,3,NOUN,0,b,k,0
nadati,225,3,VERB,0,n,i,0
prema,226,3,ADP,0,p,a,0
pokušati,227,3,VERB,0,p,i,0
djevojka,228,3,NOUN,0,d,a,0
soba,229,3,NOUN,0,s,a,0
nazvati,230,3,VERB,0,n,i,0
grad,231,3,NOUN,0,g,d,0
glava,232,3,NOUN,0,g,a,0
dugo,233,3,ADV,0,d,o,0
pokušavati,234,3,VERB,0,p,i,0
zaboraviti,235,3,VERB,0,z,i,0
kraj,236,3,NOUN,0,k,j,0
obitelj,237,3,NOUN,0,o,lj,0
god,238,3,PART,1,g,d,0
zemlja,239,3,NOUN,0,z,a,0
vrata,240,3,NOUN,0,v,a,0
priča,241,3,NOUN,0,p,a,0
dovoljno,242,3,ADV,0,d,o,0
staviti,243,3,VERB,0,s,i,0
brzo,244,3,ADV,0,b,o,0
poslati,245,3,VERB,0,p,i,0
jednom,246,3,ADV,0,j,m,0
ući,247,3,VERB,0,u,i,0
događati,248,3,VERB,0,d,i,0
lijepo,249,3,ADV,0,l,o,0
njen,250,3,DET,0,nj,n,0
sviđati,251,3,VERB,0,s,i,0
dio,252,3,NOUN,0,d,o,0
proći,253,3,VERB,0,p,i,0
brat,254,3,NOUN,0,b,t,0
postati,255,3,VERB,0,p,i,0
auto,256,3,NOUN,0,a,o,0
minuta,257,3,NOUN,0,m,a,0
dakle,258,3,CCONJ,1,d,e,0
strana,259,3,NOUN,0,s,a,0
njihov,260,3,DET,0,nj,v,0
sjećati,261,3,VERB,0,s,i,0
momak,262,3,NOUN,0,m,k,0
otvoriti,263,3,VERB,0,o,i,0
nositi,264,3,VERB,0,n,i,0
isti,265,3,ADJ,0,i,i,0
koristiti,266,3,VERB,0,k,i,0
smjeti,267,3,VERB,0,s,i,0
drago,268,3,ADV,0,d,o,0
pod,269,3,ADP,0,p,d,0
nekoliko,270,3,ADV,0,n,o,0
upoznati,271,3,VERB,0,u,i,0
prav,272,3,ADJ,0,p,v,0
mjesec,273,3,NOUN,0,m,c,0
zajedno,274,3,ADV,0,z,o,0
važan,275,3,ADJ,0,v,n,0
policija,276,3,NOUN,0,p,a,0
kroz,277,3,ADP,0,k,z,0
poput,278,3,ADP,0,p,t,0
sutra,279,3,ADV,0,s,a,0
voditi,280,3,VERB,0,v,i,0
pokazati,281,3,VERB,0,p,i,0
Ma,282,3,INTJ,0,M,a,0
zapravo,283,3,ADV,0,z,o,0
ovamo,284,3,ADV,0,o,o,0
teško,285,3,ADV,0,t,o,0
riječ,286,3,NOUN,0,r,č,0
sretan,287,3,ADJ,0,s,n,0
smrt,288,3,NOUN,0,s,t,0
izaći,289,3,VERB,0,i,i,0
shvatiti,290,3,VERB,0,s,i,0
tjedan,291,3,NOUN,0,t,n,0
gore,292,3,ADV,0,g,e,0
trenutak,293,3,NOUN,0,t,k,0
točno,294,3,ADV,0,t,o,0
osim,295,3,ADV,0,o,m,0
drag,296,3,ADJ,0,d,g,0
kasno,297,3,ADV,0,k,o,0
dosta,298,3,ADV,0,d,a,0
brod,299,3,NOUN,0,b,d,0
uspjeti,300,3,VERB,0,u,i,0
bojati,301,4,VERB,0,b,i,0
donijeti,302,4,VERB,0,d,i,0
ovde,303,4,ADV,0,o,e,0
broj,304,4,NOUN,0,b,j,0
odavde,305,4,ADV,0,o,e,0
jedini,306,4,ADJ,0,j,i,0
stići,307,4,VERB,0,s,i,0
vjerojatno,308,4,ADV,0,v,o,0
protiv,309,4,ADP,0,p,v,0
loše,310,4,ADV,0,l,e,0
spavati,311,4,VERB,0,s,i,0
osoba,312,4,NOUN,0,o,a,0
buditi,313,4,VERB,0,b,i,0
super,314,4,ADV,0,s,r,0
srce,315,4,NOUN,0,s,e,0
zadnji,316,4,ADJ,0,z,i,0
par,317,4,ADV,0,p,r,0
sestra,318,4,NOUN,0,s,a,0
razlog,319,4,NOUN,0,r,g,0
večeras,320,4,ADV,0,v,s,0
poznavati,321,4,VERB,0,p,i,0
saznati,322,4,VERB,0,s,i,0
unutra,323,4,ADV,0,u,a,0
voda,324,4,NOUN,0,v,a,0
pomoć,325,4,NOUN,0,p,ć,0
ljubav,326,4,NOUN,0,lj,v,0
nastaviti,327,4,VERB,0,n,i,0
isto,328,4,ADV,0,i,o,0
škola,329,4,NOUN,0,š,a,0
kupiti,330,4,VERB,0,k,i,0
uh,331,4,INTJ,0,u,h,0
tijelo,332,4,NOUN,0,t,o,0
čudan,333,4,ADJ,0,č,n,0
kriv,334,4,ADJ,0,k,v,0
uz,335,4,ADP,0,u,z,0
ideja,336,4,NOUN,0,i,a,0
pozvati,337,4,VERB,0,p,i,0
igrati,338,4,VERB,0,i,i,0
dolje,339,4,ADV,0,d,e,0
ovako,340,4,ADV,0,o,o,0
lice,341,4,NOUN,0,l,e,0
krenuti,342,4,VERB,0,k,i,0
jesti,343,4,VERB,0,j,i,0
sto,344,4,NUM,0,s,o,0
preko,345,4,ADP,0,p,o,0
van,346,4,ADV,0,v,n,0
plan,347,4,NOUN,0,p,n,0
lijep,348,4,ADJ,0,l,p,0
spasiti,349,4,VERB,0,s,i,0
odvesti,350,4,VERB,0,o,i,0
krv,351,4,NOUN,0,k,v,0
slika,352,4,NOUN,0,s,a,0
briga,353,4,NOUN,0,b,a,0
potreban,354,4,ADJ,0,p,n,0
ubojstvo,355,4,NOUN,0,u,o,0
muškarac,356,4,NOUN,0,m,c,0
nestati,357,4,VERB,0,n,i,0
igra,358,4,NOUN,0,i,a,0
platiti,359,4,VERB,0,p,i,0
oružje,360,4,NOUN,0,o,e,0
provjeriti,361,4,VERB,0,p,i,0
loš,362,4,ADJ,0,l,š,0
ured,363,4,NOUN,0,u,d,0
natrag,364,4,ADV,0,n,g,0
pet,365,4,NUM,0,p,t,0
doktor,366,4,NOUN,0,d,r,0
jednostavno,367,4,ADV,0,j,o,0
uhvatiti,368,4,VERB,0,u,i,0
također,369,4,ADV,0,t,r,0
lako,370,4,ADV,0,l,o,0
dovesti,371,4,VERB,0,d,i,0
lagati,372,4,VERB,0,l,i,0
jutro,373,4,NOUN,0,j,o,0
paziti,374,4,VERB,0,p,i,0
gotovo,375,4,ADV,0,g,o,0
lud,376,4,ADJ,0,l,d,0
poslije,377,4,ADV,0,p,e,0
iza,378,4,ADP,0,i,a,0
pas,379,4,NOUN,0,p,s,0
ostali,380,4,ADJ,0,o,i,0
rat,381,4,NOUN,0,r,t,0
javiti,382,4,VERB,0,j,i,0
bar,383,4,PART,1,b,r,0
zabava,384,4,NOUN,0,z,a,0
mrziti,385,4,VERB,0,m,i,0
knjiga,386,4,NOUN,0,k,a,0
dopustiti,387,4,VERB,0,d,i,0
gđa,388,4,INTJ,0,g,a,0
noga,389,4,NOUN,0,n,a,0
srediti,390,4,VERB,0,s,i,0
pratiti,391,4,VERB,0,p,i,0
šansa,392,4,NOUN,0,š,a,0
dokaz,393,4,NOUN,0,d,z,0
odlaziti,394,4,VERB,0,o,i,0
boriti,395,4,VERB,0,b,i,0
san,396,4,NOUN,0,s,n,0
stajati,397,4,VERB,0,s,i,0
zatvor,398,4,NOUN,0,z,r,0
naučiti,399,4,VERB,0,n,i,0
jeben,400,4,ADJ,0,j,n,0
ipak,401,5,ADV,0,i,k,0
pisati,402,5,VERB,0,p,i,0
k,403,5,ADP,0,k,k,0
uopće,404,5,ADV,0,u,e,0
poruka,405,5,NOUN,0,p,a,0
voziti,406,5,VERB,0,v,i,0
zaista,407,5,ADV,0,z,a,0
cura,408,5,NOUN,0,c,a,0
dolar,409,5,NOUN,0,d,r,0
blizu,410,5,ADV,0,b,u,0
sreća,411,5,NOUN,0,s,a,0
kapetan,412,5,NOUN,0,k,n,0
pasti,413,5,VERB,0,p,i,0
sljedeći,414,5,ADJ,0,s,i,0
šef,415,5,NOUN,0,š,f,0
posljednji,416,5,ADJ,0,p,i,0
mlad,417,5,ADJ,0,m,d,0
zaustaviti,418,5,VERB,0,z,i,0
gospođa,419,5,INTJ,0,g,a,0
muž,420,5,NOUN,0,m,ž,0
hrana,421,5,NOUN,0,h,a,0
njezin,422,5,DET,0,nj,n,0
jebati,423,5,VERB,0,j,i,0
razmišljati,424,5,VERB,0,r,i,0
pola,425,5,ADV,0,p,a,0
vraćati,426,5,VERB,0,v,i,0
promijeniti,427,5,VERB,0,p,i,0
tada,428,5,ADV,0,t,a,0
pištolj,429,5,NOUN,0,p,lj,0
očekivati,430,5,VERB,0,o,i,0
živ,431,5,ADJ,0,ž,v,0
shvaćati,432,5,VERB,0,s,i,0
telefon,433,5,NOUN,0,t,n,0
sjediti,434,5,VERB,0,s,i,0
otkriti,435,5,VERB,0,o,i,0
valjda,436,5,ADV,0,v,a,0
film,437,5,NOUN,0,f,m,0
večer,438,5,NOUN,0,v,r,0
između,439,5,ADP,0,i,u,0
odlučiti,440,5,VERB,0,o,i,0
prilika,441,5,NOUN,0,p,a,0
kći,442,5,NOUN,0,k,i,0
izvući,443,5,VERB,0,i,i,0
ulica,444,5,NOUN,0,u,a,0
rano,445,5,ADV,0,r,o,0
mir,446,5,NOUN,0,m,r,0
uskoro,447,5,ADV,0,u,o,0
roditelj,448,5,NOUN,0,r,lj,0
ha,449,5,INTJ,0,h,a,0
ozbiljno,450,5,ADV,0,o,o,0
ubojica,451,5,NOUN,0,u,a,0
jasno,452,5,ADV,0,j,o,0
baciti,453,5,VERB,0,b,i,0
uništiti,454,5,VERB,0,u,i,0
gde,455,5,ADV,0,g,e,0
žrtva,456,5,NOUN,0,ž,a,0
pobjeći,457,5,VERB,0,p,i,0
pun,458,5,ADJ,0,p,n,0
krevet,459,5,NOUN,0,k,t,0
odgovor,460,5,NOUN,0,o,r,0
zvučiti,461,5,VERB,0,z,i,0
bolnica,462,5,NOUN,0,b,a,0
sjajno,463,5,ADV,0,s,o,0
Dr,464,5,NOUN,0,D,r,0
riješiti,465,5,VERB,0,r,i,0
potpuno,466,5,ADV,0,p,o,0
CE,467,5,X,0,C,E,0
odlično,468,5,ADV,0,o,o,0
veoma,469,5,ADV,0,v,a,0
moguć,470,5,ADJ,0,m,ć,0
prilično,471,5,ADV,0,p,o,0
stan,472,5,NOUN,0,s,n,0
tek,473,5,PART,1,t,k,0
vijest,474,5,NOUN,0,v,t,0
izlaziti,475,5,VERB,0,i,i,0
vrsta,476,5,NOUN,0,v,a,0
piće,477,5,NOUN,0,p,e,0
izbor,478,5,NOUN,0,i,r,0
vrag,479,5,NOUN,0,v,g,0
glavni,480,5,ADJ,0,g,i,0
pucati,481,5,VERB,0,p,i,0
policajac,482,5,NOUN,0,p,c,0
Isus,483,5,NOUN,0,I,s,0
davati,484,5,VERB,0,d,i,0
ikada,485,5,ADV,0,i,a,0
glup,486,5,ADJ,0,g,p,0
stalno,487,5,ADV,0,s,o,0
četiri,488,5,NUM,0,č,i,0
lak,489,5,ADJ,0,l,k,0
pred,490,5,ADP,0,p,d,0
dvoje,491,5,NUM,0,d,e,0
skoro,492,5,ADV,0,s,o,0
dama,493,5,NOUN,0,d,a,0
nedostajati,494,5,VERB,0,n,i,0
pojam,495,5,NOUN,0,p,m,0
sastanak,496,5,NOUN,0,s,k,0
e,497,5,INTJ,0,e,e,0
vani,498,5,ADV,0,v,i,0
večera,499,5,NOUN,0,v,a,0
trag,500,5,NOUN,0,t,g,0
negdje,501,6,ADV,0,n,e,0
ponekad,502,6,ADV,0,p,d,0
zatvoriti,503,6,VERB,0,z,i,0
osjećaj,504,6,NOUN,0,o,j,0
ponovno,505,6,ADV,0,p,o,0
pretpostavljati,506,6,VERB,0,p,i,0
kamo,507,6,ADV,0,k,o,0
nikakav,508,6,DET,0,n,v,0
sjesti,509,6,VERB,0,s,i,0
poziv,510,6,NOUN,0,p,v,0
sinoć,511,6,ADV,0,s,ć,0
niti,512,6,PART,1,n,i,0
čuvati,513,6,VERB,0,č,i,0
zanimati,514,6,VERB,0,z,i,0
piti,515,6,VERB,0,p,i,0
znak,516,6,NOUN,0,z,k,0
gđica,517,6,NOUN,0,g,a,0
agent,518,6,NOUN,0,a,t,0
dovraga,519,6,INTJ,0,d,a,0
gospoda,520,6,INTJ,0,g,a,0
napad,521,6,NOUN,0,n,d,0
tajna,522,6,NOUN,0,t,a,0
obzir,523,6,NOUN,0,o,r,0
barem,524,6,PART,1,b,m,0
slagati,525,6,VERB,0,s,i,0
zadržati,526,6,VERB,0,z,i,0
poći,527,6,VERB,0,p,i,0
smiriti,528,6,VERB,0,s,i,0
kralj,529,6,NOUN,0,k,lj,0
smiješan,530,6,ADJ,0,s,n,0
Jack,531,6,NOUN,0,J,k,0
izviniti,532,6,VERB,0,i,i,0
gotov,533,6,ADJ,0,g,v,0
ca,534,6,X,0,c,a,0
pomisliti,535,6,VERB,0,p,i,0
ikad,536,6,ADV,0,i,d,0
desiti,537,6,VERB,0,d,i,0
gubiti,538,6,VERB,0,g,i,0
jak,539,6,ADJ,0,j,k,0
pogoditi,540,6,VERB,0,p,i,0
rado,541,6,ADV,0,r,o,0
um,542,6,NOUN,0,u,m,0
šest,543,6,NUM,0,š,t,0
razgovor,544,6,NOUN,0,r,r,0
boljeti,545,6,VERB,0,b,i,0
ponovo,546,6,ADV,0,p,o,0
polako,547,6,ADV,0,p,o,0
oboje,548,6,NUM,0,o,e,0
ukrasti,549,6,VERB,0,u,i,0
napisati,550,6,VERB,0,n,i,0
probuditi,551,6,VERB,0,p,i,0
sekunda,552,6,NOUN,0,s,a,0
napustiti,553,6,VERB,0,n,i,0
milijun,554,6,NOUN,0,m,n,0
beba,555,6,NOUN,0,b,a,0
smisao,556,6,NOUN,0,s,o,0
crn,557,6,ADJ,0,c,n,0
objasniti,558,6,VERB,0,o,i,0
konj,559,6,NOUN,0,k,nj,0
čim,560,6,SCONJ,1,č,m,0
početak,561,6,NOUN,0,p,k,0
odakle,562,6,ADV,0,o,e,0
zakon,563,6,NOUN,0,z,n,0
borba,564,6,NOUN,0,b,a,0
ispričati,565,6,VERB,0,i,i,0
pravilo,566,6,NOUN,0,p,o,0
iako,567,6,SCONJ,1,i,o,0
počinjati,568,6,VERB,0,p,i,0
rad,569,6,NOUN,0,r,d,0
proklet,570,6,ADJ,0,p,t,0
ispod,571,6,ADP,0,i,d,0
šaliti,572,6,VERB,0,š,i,0
sjajan,573,6,ADJ,0,s,n,0
izvoljeti,574,6,VERB,0,i,i,0
nekako,575,6,ADV,0,n,o,0
ovakav,576,6,DET,0,o,v,0
smetati,577,6,VERB,0,s,i,0
snaga,578,6,NOUN,0,s,a,0
dječak,579,6,NOUN,0,d,k,0
težak,580,6,ADJ,0,t,k,0
informacija,581,6,NOUN,0,i,a,0
svet,582,6,ADJ,0,s,t,0
duh,583,6,NOUN,0,d,h,0
stol,584,6,NOUN,0,s,l,0
aha,585,6,INTJ,0,a,a,0
kontrola,586,6,NOUN,0,k,a,0
probati,587,6,VERB,0,p,i,0
Ah,588,6,INTJ,0,A,h,0
provesti,589,6,VERB,0,p,i,0
doma,590,6,ADV,0,d,a,0
pomagati,591,6,VERB,0,p,i,0
ključ,592,6,NOUN,0,k,č,0
ljudski,593,6,ADJ,0,lj,i,0
račun,594,6,NOUN,0,r,n,0
ujutro,595,6,ADV,0,u,o,0
razmisliti,596,6,VERB,0,r,i,0
zbilja,597,6,ADV,0,z,a,0
čitati,598,6,VERB,0,č,i,0
kava,599,6,NOUN,0,k,a,0
slobodan,600,6,ADJ,0,s,n,0
uživati,601,7,VERB,0,u,i,0
kosa,602,7,NOUN,0,k,a,0
jedino,603,7,ADV,0,j,o,0
pojaviti,604,7,VERB,0,p,i,0
vojnik,605,7,NOUN,0,v,k,0
vojska,606,7,NOUN,0,v,a,0
poznat,607,7,ADJ,0,p,t,0
očito,608,7,ADV,0,o,o,0
udariti,609,7,VERB,0,u,i,0
usluga,610,7,NOUN,0,u,a,0
pobijediti,611,7,VERB,0,p,i,0
glas,612,7,NOUN,0,g,s,0
pobrinuti,613,7,VERB,0,p,i,0
pismo,614,7,NOUN,0,p,o,0
zabavan,615,7,ADJ,0,z,n,0
prekinuti,616,7,VERB,0,p,i,0
odvjetnik,617,7,NOUN,0,o,k,0
biće,618,7,NOUN,0,b,e,0
stanje,619,7,NOUN,0,s,e,0
tisuća,620,7,NOUN,0,t,a,0
pjesma,621,7,NOUN,0,p,a,0
deset,622,7,NUM,0,d,t,0
ispred,623,7,ADP,0,i,d,0
nevolja,624,7,NOUN,0,n,a,0
ondje,625,7,ADV,0,o,e,0
sjetiti,626,7,VERB,0,s,i,0
ljut,627,7,ADJ,0,lj,t,0
vlastit,628,7,ADJ,0,v,t,0
naprijed,629,7,ADV,0,n,d,0
odluka,630,7,NOUN,0,o,a,0
zamisliti,631,7,VERB,0,z,i,0
uzimati,632,7,VERB,0,u,i,0
mnogi,633,7,ADJ,0,m,i,0
primiti,634,7,VERB,0,p,i,0
ceti,635,7,X,0,c,i,0
dom,636,7,NOUN,0,d,m,0
prijateljica,637,7,NOUN,0,p,a,0
zgrada,638,7,NOUN,0,z,a,0
društvo,639,7,NOUN,0,d,o,0
karta,640,7,NOUN,0,k,a,0
situacija,641,7,NOUN,0,s,a,0
Michael,642,7,NOUN,0,M,l,0
leđa,643,7,NOUN,0,l,a,0
bježati,644,7,VERB,0,b,i,0
pre,645,7,ADV,0,p,e,0
zrak,646,7,NOUN,0,z,k,0
jel,647,7,PART,1,j,l,0
šteta,648,7,NOUN,0,š,a,0
crven,649,7,ADJ,0,c,n,0
požuriti,650,7,VERB,0,p,i,0
uvek,651,7,ADV,0,u,k,0
droga,652,7,NOUN,0,d,a,0
doista,653,7,ADV,0,d,a,0
vatra,654,7,NOUN,0,v,a,0
pogled,655,7,NOUN,0,p,d,0
operacija,656,7,NOUN,0,o,a,0
mozg,657,7,NOUN,0,m,g,0
kretati,658,7,VERB,0,k,i,0
lijek,659,7,NOUN,0,l,k,0
priznati,660,7,VERB,0,p,i,0
prst,661,7,NOUN,0,p,t,0
podatak,662,7,NOUN,0,p,k,0
predsjednik,663,7,NOUN,0,p,k,0
pametan,664,7,ADJ,0,p,n,0
obećati,665,7,VERB,0,o,i,0
spustiti,666,7,VERB,0,s,i,0
jutros,667,7,ADV,0,j,s,0
slijediti,668,7,VERB,0,s,i,0
budućnost,669,7,NOUN,0,b,t,0
smatrati,670,7,VERB,0,s,i,0
većina,671,7,NOUN,0,v,a,0
roditi,672,7,ADJ,0,r,i,0
pokušaj,673,7,NOUN,0,p,j,0
pričekati,674,7,VERB,0,p,i,0
bijel,675,7,ADJ,0,b,l,0
detektiv,676,7,NOUN,0,d,v,0
brak,677,7,NOUN,0,b,k,0
okrenuti,678,7,VERB,0,o,i,0
zlo,679,7,NOUN,0,z,o,0
zid,680,7,NOUN,0,z,d,0
zločin,681,7,NOUN,0,z,n,0
