lemma,first_singular,second_singular,third_singular,first_plural,second_plural,third_plural,provenance
eljön,eljövök,eljössz,eljön,eljövünk,eljöttök,eljönnek,manual
hallgat,hallgatok,hallgatsz,hallgat,hallgatunk,hallgattok,hallgatnak,wiktionary
folyik,folyok,folysz,folyik,folyunk,folytok,folynak,wiktionary
iszik,iszom,iszol,iszik,iszunk,isztok,isznak,wiktionary
küld,küldök,küldesz,küld,küldünk,küldötök,küldenek,wiktionary
hal,halok,halsz,hal,halunk,haltok,halnak,wiktionary
indul,indulok,indulsz,indul,indulunk,indultok,indulnak,wiktionary
végez,végzek,végzel,végez,végzünk,végeztek,végeznek,wiktionary
száll,szállok,szállsz,száll,szállunk,szálltok,szállnak,wiktionary
jut,jutok,jutsz,jut,jutunk,juttok,jutnak,wiktionary
hangzik,hangzok,hangzol,hangzik,hangzunk,hangzotok,hangzanak,wiktionary
megmond,megmondok,megmondasz,megmond,megmondunk,megmondotok,megmondanak,wiktionary
megpróbál,megpróbálok,megpróbálsz,megpróbál,megpróbálunk,megpróbáltok,megpróbálnak,wiktionary
hazudik,hazudok,hazudsz,hazudik,hazudunk,hazudtok,hazudnak,wiktionary
követ,követek,követsz,követ,követünk,követtek,követnek,wiktionary
szerez,szerzek,szerzel,szerez,szerzünk,szereztek,szereznek,wiktionary
fáj,fájok,fájsz,fáj,fájunk,fájtok,fájnak,manual
vezet,vezetek,vezetsz,vezet,vezetünk,vezettek,vezetnek,wiktionary
tartozik,tartozom,tartozol,tartozik,tartozunk,tartoztok,tartoznak,wiktionary
esik,esem,esel,esik,esünk,estek,esnek,wiktionary
meglát,meglátok,meglátsz,meglát,meglátunk,megláttok,meglátnak,wiktionary
segíthet,segíthetek,segíthetsz,segíthet,segíthetünk,segíthettek,segíthetnek,manual
hiányzik,hiányzom,hiányzol,hiányzik,hiányzunk,hiányoztok,hiányoznak,wiktionary
felejt,felejtek,felejtesz,felejt,felejtünk,felejtetek,felejtenek,wiktionary
megnéz,megnézek,megnézel,megnéz,megnézünk,megnéztek,megnéznek,wiktionary
rájön,rájövök,rájössz,rájön,rájövünk,rájöttök,rájönnek,wiktionary
imád,imádok,imádsz,imád,imádunk,imádtok,imádnak,wiktionary
megkap,megkapok,megkapsz,megkap,megkapunk,megkaptok,megkapnak,wiktionary
fizet,fizetek,fizetsz,fizet,fizetünk,fizettek,fizetnek,wiktionary
viccel,viccelek,viccelsz,viccel,viccelünk,vicceltek,viccelnek,wiktionary
visszajön,visszajövök,visszajössz,visszajön,visszajövünk,visszajöttök,visszajönnek,manual
elkap,elkapok,elkapsz,elkap,elkapunk,elkaptok,elkapnak,manual
szokik,szokom,szoksz,szokik,szokunk,szoktok,szoknak,wiktionary
látszik,látszom,látszol,látszik,látszunk,látszotok,látszanak,wiktionary
fordít,fordítok,fordítasz,fordít,fordítunk,fordítotok,fordítanak,wiktionary
húz,húzok,húzol,húz,húzunk,húztok,húznak,wiktionary
olvas,olvasok,olvasol,olvas,olvasunk,olvastok,olvasnak,wiktionary
állít,állítok,állítasz,állít,állítunk,állítotok,állítanak,wiktionary
lép,lépek,lépsz,lép,lépünk,léptek,lépnek,wiktionary
esküszik,esküszöm,esküszöl,esküszik,esküszünk,esküsztök,esküsznek,wiktionary
fogad,fogadok,fogadsz,fogad,fogadunk,fogadtok,fogadnak,wiktionary
kezdődik,kezdődöm,kezdődsz,kezdődik,kezdődünk,kezdődtök,kezdődnek,wiktionary
megcsinál,megcsinálok,megcsinálsz,megcsinál,megcsinálunk,megcsináltok,megcsinálnak,wiktionary
bír,bírok,bírsz,bír,bírunk,bírtok,bírnak,wiktionary
folytat,folytatok,folytatsz,folytat,folytatunk,folytattok,folytatnak,wiktionary
elvisz,elviszek,elviszel,elvisz,elviszünk,elvisztek,elvisznek,manual
beszélhet,beszélhetek,beszélhetsz,beszélhet,beszélhetünk,beszélhettek,beszélhetnek,manual
létezik,létezem,létezel,létezik,létezünk,léteztek,léteznek,wiktionary
mondhat,mondhatok,mondhatsz,mondhat,mondhatunk,mondhattok,mondhatnak,manual
elfelejt,elfelejtek,elfelejtesz,elfelejt,elfelejtünk,elfelejtetek,elfelejtenek,wiktionary
utál,utálok,utálsz,utál,utálunk,utáltok,utálnak,wiktionary
fut,futok,futsz,fut,futunk,futtok,futnak,wiktionary
keresel,keresek,keresel,keres,keresünk,kerestek,keresnek,manual
téved,tévedek,tévedsz,téved,tévedünk,tévedtek,tévednek,wiktionary
mondani,mondok,mondasz,mond,mondunk,mondotok,mondanak,manual
fordul,fordulok,fordulsz,fordul,fordulunk,fordultok,fordulnak,wiktionary
elveszt,elvesztek,elvesztesz,elveszt,elvesztünk,elvesztetek,elvesztenek,wiktionary
gratulál,gratulálok,gratulálsz,gratulál,gratulálunk,gratuláltok,gratulálnak,wiktionary
beszélget,beszélgetek,beszélgetsz,beszélget,beszélgetünk,beszélgettek,beszélgetnek,wiktionary
nézzétek,nézek,nézel,néz,nézünk,néztek,néznek,manual
dönt,döntök,döntesz,dönt,döntünk,döntötök,döntenek,wiktionary
legyél,vagyok,vagy,van,vagyunk,vagytok,vannak,manual
képzel,képzelek,képzelsz,képzel,képzelünk,képzeltek,képzelnek,wiktionary
készül,készülök,készülsz,készül,készülünk,készültök,készülnek,wiktionary
baszik,baszok,baszol,baszik,baszunk,basztok,basznak,wiktionary
érkezik,érkezem,érkezel,érkezik,érkezünk,érkeztek,érkeznek,wiktionary
válaszol,válaszolok,válaszolsz,válaszol,válaszolunk,válaszoltok,válaszolnak,wiktionary
siet,sietek,sietsz,siet,sietünk,siettek,sietnek,wiktionary
elhisz,elhiszek,elhiszel,elhisz,elhiszünk,elhisztek,elhisznek,wiktionary
kiderül,kiderülök,kiderülsz,kiderül,kiderülünk,kiderültök,kiderülnek,wiktionary
felhív,felhívok,felhívsz,felhív,felhívunk,felhívtok,felhívnak,wiktionary
basz,baszok,baszol,basz,baszunk,basztok,basznak,wiktionary
okoz,okozok,okozol,okoz,okozunk,okoztok,okoznak,wiktionary
mesél,mesélek,mesélsz,mesél,mesélünk,meséltek,mesélnek,wiktionary
gondolkodik,gondolkodom,gondolkodsz,gondolkodik,gondolkodunk,gondolkodtok,gondolkodnak,wiktionary
haragszik,haragszom,haragszol,haragszik,haragszunk,haragszotok,haragszanak,wiktionary
dob,dobok,dobsz,dob,dobunk,dobtok,dobnak,wiktionary
nyer,nyerek,nyersz,nyer,nyerünk,nyertek,nyernek,wiktionary
megígér,megígérek,megígérsz,megígér,megígérünk,megígértek,megígérnek,wiktionary
bánt,bántok,bántasz,bánt,bántunk,bántotok,bántanak,wiktionary
kel,kelek,kelsz,kel,kelünk,keltek,kelnek,wiktionary
bocsáss,bocsátok,bocsátasz,bocsát,bocsátunk,bocsátotok,bocsátanak,manual
válik,válok,válsz,válik,válunk,váltok,válnak,wiktionary
ígér,ígérek,ígérsz,ígér,ígérünk,ígértek,ígérnek,wiktionary
mozdul,mozdulok,mozdulsz,mozdul,mozdulunk,mozdultok,mozdulnak,wiktionary
nyugodj,nyugszom,nyugszol,nyugodik,nyugszunk,nyugszotok,nyugszanak,manual
megment,megmentek,megmentesz,megment,megmentünk,megmentetek,megmentenek,wiktionary
bán,bánok,bánsz,bán,bánunk,bántok,bánnak,wiktionary
visszatér,visszatérek,visszatérsz,visszatér,visszatérünk,visszatértek,visszatérnek,wiktionary
zavar,zavarok,zavarsz,zavar,zavarunk,zavartok,zavarnak,wiktionary
kapcsol,kapcsolok,kapcsolsz,kapcsol,kapcsolunk,kapcsoltok,kapcsolnak,wiktionary
üdvözl,üdvözlök,üdvözölsz,üdvözöl,üdvözlünk,üdvözöltök,üdvözölnek,manual
nevet,nevetek,nevetsz,nevet,nevetünk,nevettek,nevetnek,wiktionary
tanul,tanulok,tanulsz,tanul,tanulunk,tanultok,tanulnak,wiktionary
aggód,aggódom,aggódsz,aggódik,aggódunk,aggódtok,aggódnak,manual
lő,lövök,lősz,lő,lövünk,lőtök,lőnek,wiktionary
lakik,lakom,laksz,lakik,lakunk,laktok,laknak,wiktionary
bízik,bízom,bízol,bízik,bízunk,bíztok,bíznak,wiktionary
jöhet,jöhetek,jöhetsz,jöhet,jöhetünk,jöhettek,jöhetnek,manual
örvend,örvendek,örvendesz,örvend,örvendünk,örvendetek,örvendenek,wiktionary
kíván,kívánok,kívánsz,kíván,kívánunk,kívántok,kívánnak,wiktionary
nyit,nyitok,nyitsz,nyit,nyitunk,nyittok,nyitnak,wiktionary
tűn,tűnök,tűnsz,tűnik,tűnünk,tűntök,tűnnek,manual
megold,megoldok,megoldasz,megold,megoldunk,megoldotok,megoldanak,wiktionary
vág,vágok,vágsz,vág,vágunk,vágtok,vágnak,wiktionary
illet,illetek,illetsz,illet,illetünk,illettek,illetnek,wiktionary
esz,eszem,eszel,esz,eszünk,esztek,esznek,wiktionary
sír,sírok,sírsz,sír,sírunk,sírtok,sírnak,wiktionary
megmutat,megmutatok,megmutatsz,megmutat,megmutatunk,megmutattok,megmutatnak,wiktionary
függ,függök,függsz,függ,függünk,függtök,függnek,wiktionary
megtud,megtudok,megtudsz,megtud,megtudunk,megtudtok,megtudnak,wiktionary
bocsát,bocsátok,bocsátasz,bocsát,bocsátunk,bocsátotok,bocsátanak,wiktionary
tölt,töltök,töltesz,tölt,töltünk,töltötök,töltenek,wiktionary
repül,repülök,repülsz,repül,repülünk,repültök,repülnek,wiktionary
megbeszél,megbeszélek,megbeszélsz,megbeszél,megbeszélünk,megbeszéltek,megbeszélnek,wiktionary
művel,művelek,művelsz,művel,művelünk,műveltek,művelnek,wiktionary
fejez,fejezek,fejezel,fejez,fejezünk,fejeztek,fejeznek,wiktionary
nincsen,nem vagyok,nem vagy,nincsen,nem vagyunk,nem vagytok,nincsenek,manual
kedvel,kedvelek,kedvelsz,kedvel,kedvelünk,kedveltek,kedvelnek,wiktionary
történhet,történhetek,történhetsz,történhet,történhetünk,történhettek,történhetnek,manual
elkezd,elkezdek,elkezdesz,elkezd,elkezdünk,elkezdetek,elkezdenek,wiktionary
tarts,tartok,tartasz,tart,tartunk,tartotok,tartanak,manual
gondolkozik,gondolkozom,gondolkozol,gondolkozik,gondolkozunk,gondolkoztok,gondolkoznak,wiktionary
törődik,törődöm,törődsz,törődik,törődünk,törődtök,törődnek,wiktionary
tér,térek,térsz,tér,térünk,tértek,térnek,wiktionary
elintéz,elintézek,elintézel,elintéz,elintézünk,elintéztek,elintéznek,wiktionary
meglesz,megleszek,megleszel,meglesz,megleszünk,meglesztek,meglesznek,manual
hazud,hazudok,hazudsz,hazudik,hazudunk,hazudtok,hazudnak,manual
elhagy,elhagyok,elhagysz,elhagy,elhagyunk,elhagytok,elhagynak,wiktionary
bízz,bízom,bízol,bízik,bízunk,bíztok,bíznak,manual
változtat,változtatok,változtatsz,változtat,változtatunk,változtattok,változtatnak,wiktionary
hagyhat,hagyhatok,hagyhatsz,hagyhat,hagyhatunk,hagyhattok,hagyhatnak,manual
ellop,ellopok,ellopsz,ellop,ellopunk,elloptok,ellopnak,wiktionary
táncol,táncolok,táncolsz,táncol,táncolunk,táncoltok,táncolnak,wiktionary
szed,szedek,szedsz,szed,szedünk,szedtek,szednek,wiktionary
harcol,harcolok,harcolsz,harcol,harcolunk,harcoltok,harcolnak,wiktionary
múlik,múlok,múlsz,múlik,múlunk,múltok,múlnak,wiktionary
egyetért,egyetértek,egyetértesz,egyetért,egyetértünk,egyetértetek,egyetértenek,wiktionary
viselkedik,viselkedem,viselkedsz,viselkedik,viselkedünk,viselkedtek,viselkednek,wiktionary
nyúl,nyúlok,nyúlsz,nyúl,nyúlunk,nyúltok,nyúlnak,wiktionary
eltűnik,eltűnök,eltűnsz,eltűnik,eltűnünk,eltűntök,eltűnnek,wiktionary
kaphat,kaphatok,kaphatsz,kaphat,kaphatunk,kaphattok,kaphatnak,manual
elér,elérek,elérsz,elér,elérünk,elértek,elérnek,wiktionary
értékel,értékelek,értékelsz,értékel,értékelünk,értékeltek,értékelnek,wiktionary
megőrül,megőrülök,megőrülsz,megőrül,megőrülünk,megőrültök,megőrülnek,wiktionary
készít,készítek,készítesz,készít,készítünk,készítetek,készítenek,wiktionary
feled,feledek,feledsz,feled,feledünk,feledtek,felednek,wiktionary
vigyél,viszek,viszel,visz,viszünk,visztek,visznek,manual
elfogad,elfogadok,elfogadsz,elfogad,elfogadunk,elfogadtok,elfogadnak,wiktionary
szórakozik,szórakozom,szórakozol,szórakozik,szórakozunk,szórakoztok,szórakoznak,wiktionary
ébred,ébredek,ébredsz,ébred,ébredünk,ébredtek,ébrednek,wiktionary
árul,árulok,árulsz,árul,árulunk,árultok,árulnak,wiktionary
tegyél,teszek,teszel,tesz,teszünk,tesztek,tesznek,manual
kimegy,kimegyek,kimész,kimegy,kimegyünk,kimentek,kimennek,wiktionary
megkérdez,megkérdezek,megkérdezel,megkérdez,megkérdezünk,megkérdeztek,megkérdeznek,wiktionary
választ,választok,választasz,választ,választunk,választotok,választanak,wiktionary
megegyezik,megegyezem,megegyezel,megegyezik,megegyezünk,megegyeztek,megegyeznek,wiktionary
illik,illek,illesz,illik,illünk,illetek,illenek,wiktionary
következik,következem,következel,következik,következünk,következtek,következnek,wiktionary
kétl,kétlem,kétled,kétli,kételjük,kétlitek,kétlik,manual
megállít,megállítok,megállítasz,megállít,megállítunk,megállítotok,megállítanak,wiktionary
emlékezik,emlékezem,emlékezel,emlékezik,emlékezünk,emlékeztek,emlékeznek,wiktionary
vacsorázik,vacsorázok,vacsorázol,vacsorázik,vacsorázunk,vacsoráztok,vacsoráznak,wiktionary
hasonlít,hasonlítok,hasonlítasz,hasonlít,hasonlítunk,hasonlítotok,hasonlítanak,wiktionary
tégy,teszek,teszel,tesz,teszünk,tesztek,tesznek,manual
halad,haladok,haladsz,halad,haladunk,haladtok,haladnak,wiktionary
telik,telek,telsz,telik,telünk,teltek,telnek,manual
emlékez,emlékezem,emlékezel,emlékezik,emlékezünk,emlékeztek,emlékeznek,manual
feküd,fekszem,fekszel,fekszik,fekszünk,fekszetek,fekszenek,manual
megérkezik,megérkezem,megérkezel,megérkezik,megérkezünk,megérkeztek,megérkeznek,wiktionary
ajánl,ajánlok,ajánlasz,ajánl,ajánlunk,ajánlotok,ajánlanak,wiktionary
monda,mondok,mondasz,mond,mondunk,mondotok,mondanak,manual
megfelel,megfelelek,megfelelsz,megfelel,megfelelünk,megfeleltek,megfelelnek,wiktionary
ismétl,ismétlek,ismételsz,ismétel,ismétlünk,ismételtek,ismételnek,manual
kezel,kezelek,kezelsz,kezel,kezelünk,kezeltek,kezelnek,wiktionary
egyél,eszem,eszel,eszik,eszünk,esztek,esznek,manual
stimmel,stimmelek,stimmelsz,stimmel,stimmelünk,stimmeltek,stimmelnek,wiktionary
visszamegy,visszamegyek,visszamész,visszamegy,visszamegyünk,visszamentek,visszamennek,wiktionary
bemutat,bemutatok,bemutatsz,bemutat,bemutatunk,bemutattok,bemutatnak,wiktionary
javasol,javaslok,javasolsz,javasol,javaslunk,javasoltok,javasolnak,wiktionary
véd,védek,védsz,véd,védünk,védtek,védnek,wiktionary
irányít,irányítok,irányítasz,irányít,irányítunk,irányítotok,irányítanak,wiktionary
bizonyít,bizonyítok,bizonyítasz,bizonyít,bizonyítunk,bizonyítotok,bizonyítanak,wiktionary
megvéd,megvédek,megvédsz,megvéd,megvédünk,megvédtek,megvédnek,wiktionary
vél,vélek,vélsz,vél,vélünk,véltek,vélnek,wiktionary
származik,származom,származol,származik,származunk,származtok,származnak,wiktionary
takarod,takarodok,takarodsz,takarodik,takarodunk,takarodtok,takarodnak,manual
említ,említek,említesz,említ,említünk,említetek,említenek,wiktionary
mozogj,mozgok,mozogsz,mozog,mozgunk,mozogtok,mozognak,manual
ugrik,ugrom,ugrasz,ugrik,ugrunk,ugrotok,ugranak,wiktionary
kinyit,kinyitok,kinyitsz,kinyit,kinyitunk,kinyittok,kinyitnak,wiktionary
megáll,megállok,megállsz,megáll,megállunk,megálltok,megállnak,wiktionary
megkér,megkérek,megkérsz,megkér,megkérünk,megkértek,megkérnek,wiktionary
győz,győzök,győzöl,győz,győzünk,győztök,győznek,wiktionary
mozog,mozgok,mozogsz,mozog,mozgunk,mozogtok,mozognak,wiktionary
higgy,hiszek,hiszel,hisz,hiszünk,hisztek,hisznek,manual
lélegez,lélegzem,lélegzel,lélegzik,lélegzünk,lélegeztek,lélegeznek,manual
feltételez,feltételezek,feltételezel,feltételez,feltételezünk,feltételeztek,feltételeznek,wiktionary
tarta,tartok,tartasz,tart,tartunk,tartotok,tartanak,manual
hiányoz,hiányzom,hiányzol,hiányzik,hiányzunk,hiányoztok,hiányoznak,manual
segíte,segítek,segítesz,segít,segítünk,segítetek,segítenek,manual
lejár,lejárok,lejársz,lejár,lejárunk,lejártok,lejárnak,wiktionary
ment,mentek,mentesz,ment,mentünk,mentetek,mentenek,wiktionary
lefogad,lefogadok,lefogadsz,lefogad,lefogadunk,lefogadtok,lefogadnak,manual
álmodik,álmodom,álmodsz,álmodik,álmodunk,álmodtok,álmodnak,wiktionary
legyet,vagyok,vagy,van,vagyunk,vagytok,vannak,manual
tudhat,tudhatok,tudhatsz,tudhat,tudhatunk,tudhattok,tudhatnak,manual
énekel,éneklek,énekelsz,énekel,éneklünk,énekeltek,énekelnek,wiktionary
érj,érek,érsz,ér,érünk,értek,érnek,manual
foglalkozik,foglalkozom,foglalkozol,foglalkozik,foglalkozunk,foglalkoztok,foglalkoznak,wiktionary
hívta,hívok,hívsz,hív,hívunk,hívtok,hívnak,manual
elvisel,elviselek,elviselsz,elvisel,elviselünk,elviseltek,elviselnek,wiktionary
fekszik,fekszem,fekszel,fekszik,fekszünk,fekszetek,fekszenek,wiktionary
csuk,csukok,csuksz,csuk,csukunk,csuktok,csuknak,wiktionary
emlékeztet,emlékeztetek,emlékeztetsz,emlékeztet,emlékeztetünk,emlékeztettek,emlékeztetnek,wiktionary
sétál,sétálok,sétálsz,sétál,sétálunk,sétáltok,sétálnak,wiktionary
ígérd,ígérek,ígérsz,ígér,ígérünk,ígértek,ígérnek,manual
születik,születek,születsz,születik,születünk,születtek,születnek,wiktionary
elképzel,elképzelek,elképzelsz,elképzel,elképzelünk,elképzeltek,elképzelnek,wiktionary
alszol,alszom,alszol,aluszik,alszunk,alszotok,alszanak,manual
kussol,kussolok,kussolsz,kussol,kussolunk,kussoltok,kussolnak,manual
haldoklik,haldoklok,haldokolsz,haldoklik,haldoklunk,haldokoltok,haldokolnak,wiktionary
közeledik,közeledem,közeledsz,közeledik,közeledünk,közeledtek,közelednek,wiktionary
bemegy,bemegyek,bemész,bemegy,bemegyünk,bementek,bemennek,wiktionary
kérdezhet,kérdezhetek,kérdezhetsz,kérdezhet,kérdezhetünk,kérdezhettek,kérdezhetnek,manual
megkeres,megkeresek,megkeresel,megkeres,megkeresünk,megkerestek,megkeresnek,wiktionary
felkészül,felkészülök,felkészülsz,felkészül,felkészülünk,felkészültök,felkészülnek,wiktionary
elvesz,elveszek,elveszel,elvesz,elveszünk,elvesztek,elvesznek,wiktionary
bánik,bánok,bánsz,bánik,bánunk,bántok,bánnak,wiktionary
adhat,adhatok,adhatsz,adhat,adhatunk,adhattok,adhatnak,manual
forog,forgok,forogsz,forog,forgunk,forogtok,forognak,wiktionary
könyörög,könyörgök,könyörögsz,könyörög,könyörgünk,könyörögtök,könyörögnek,wiktionary
támad,támadok,támadsz,támad,támadunk,támadtok,támadnak,wiktionary
telefonál,telefonálok,telefonálsz,telefonál,telefonálunk,telefonáltok,telefonálnak,wiktionary
megér,megérek,megérsz,megér,megérünk,megértek,megérnek,wiktionary
árt,ártok,ártasz,árt,ártunk,ártotok,ártanak,wiktionary
hazamegy,hazamegyek,hazamész,hazamegy,hazamegyünk,hazamentek,hazamennek,wiktionary
elad,eladok,eladsz,elad,eladunk,eladtok,eladnak,wiktionary
úszik,úszom,úszol,úszik,úszunk,úsztok,úsznak,wiktionary
emel,emelek,emelsz,emel,emelünk,emeltek,emelnek,wiktionary
gyűlöl,gyűlölök,gyűlölsz,gyűlöl,gyűlölünk,gyűlöltök,gyűlölnek,wiktionary
maradhat,maradhatok,maradhatsz,maradhat,maradhatunk,maradhattok,maradhatnak,manual
hagyjál,hagyok,hagysz,hagy,hagyunk,hagytok,hagynak,manual
észrevesz,észreveszek,észreveszel,észrevesz,észreveszünk,észrevesztek,észrevesznek,wiktionary
felvesz,felveszek,felveszel,felvesz,felveszünk,felvesztek,felvesznek,wiktionary
könyörg,könyörgök,könyörögsz,könyörög,könyörgünk,könyörögtök,könyörögnek,manual
hozhat,hozhatok,hozhatsz,hozhat,hozhatunk,hozhattok,hozhatnak,manual
zár,zárok,zársz,zár,zárunk,zártok,zárnak,wiktionary
foglal,foglalok,foglalsz,foglal,foglalunk,foglaltok,foglalnak,wiktionary
érti,értek,értesz,ért,értünk,értetek,értenek,manual
lelősz,lelövök,lelősz,lelő,lelövünk,lelőtök,lelőnek,manual
megad,megadok,megadsz,megad,megadunk,megadtok,megadnak,wiktionary
nézzet,nézek,nézel,néz,nézünk,néztek,néznek,manual
utal,utalok,utalsz,utal,utalunk,utaltok,utalnak,wiktionary
